,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
0,dollar,formula,pound,quote,ability,absence,abuse,acceptance,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acquisition,activity,actor,adam,addition,address,administration,adult,advantage,advertisement,advice,affair,africa,afternoon,agency,agenda,agreement,aircraft,airport,alarm,album,alice,allocation,allowance,ally,alternative,ambition,amendment,american,amount,angel,anger,angle,ankle,anxiety,apartment,appeal,appearance,apple,applicant,appointment,approach,april,area,argument,army,array,arrival,article,aspect,assault,assessment,asset,assistant,atmosphere,attention,attitude,auditor,australia,authority,autumn,availability,average,award,awareness,baby,back,background,baker,balance,ball,barrel,barrier,base,basis,basket,battle,beach,beer,belt,bench,best,bible,bike,birthday,bishop,black,blood,blow,board,boat,body,book,boom,boot,bowl,brand,breast,breath,breeze,brother,bull,bush,business,campaign,candidate,captain,care,career,cash,cast,catalogue,caution,century,ceremony,chain,chamber,chaos,chart,charter,chip,circle,circuit,circumstance,city,cloth,clothes,club,co-operation,collapse,collection,college,combination,comfort,company,composition,concept,consensus,content,countryside,couple,culture,cycle,dawn,decision,defender,dilemma,drama,drive,duke,east,enquiry,equipment,flood,initiative,instance,label,liverpool,while
1,coin,formula,acre,allegation,attempt,birth,action,admission,comparison,bomb,building,analysis,adviser,capacity,honour,alcohol,adoption,attraction,architect,athelstan,advance,answer,ambassador,animal,charge,advertising,assistance,bond,america,dinner,alliance,belief,arrangement,airline,cottage,cable,band,anna,application,budget,boss,chance,commitment,assembly,english,cost,character,audience,arrow,elbow,difficulty,bathroom,arrest,date,bell,creditor,position,conception,february,boundary,assumption,citizen,cluster,departure,chapter,characteristic,attack,evaluation,bank,cabinet,climate,contempt,behaviour,governor,england,discretion,spring,consumption,level,contest,consciousness,child,being,emission,clarke,concentration,brush,bath,block,capital,breach,bucket,fight,cliff,bread,border,brick,category,christ,carriage,feeling,castle,brown,bone,break,commission,container,brow,column,crisis,computer,challenge,buyer,chest,flesh,electricity,cousin,cattle,clinton,exchange,expedition,conservative,commander,certificate,firm,cheque,poll,copy,concern,decade,method,factory,phase,cloud,cover,clause,counter,hook,clerk,conclusion,country,custom,coat,crew,communication,damage,concert,colony,form,complexity,corp,dance,criterion,consideration,contents,forest,hundred,faith,hour,earth,determination,inhabitant,lesson,episode,journey,emperor,forward,inquiry,gear,flow,mission,language,record,london,whilst
2,currency,rally,metre,announcement,capability,cancer,crime,approval,connection,crash,camp,calculation,agent,depth,merit,chemical,anniversary,obstacle,artist,benjamin,cause,call,chairman,bacterium,control,fashion,benefit,clash,britain,evening,association,bias,compromise,carrier,hospital,camera,show,anne,architecture,dividend,colleague,choice,courage,bill,french,degree,corpse,beauty,beam,finger,emphasis,bedroom,conviction,host,blanket,defendant,post,exercise,june,branch,case,doctor,distance,discovery,coverage,component,battery,examination,credit,chair,community,enthusiasm,conduct,province,india,jurisdiction,summer,delivery,maximum,holder,insight,dancer,bottom,filter,cook,count,handle,bottle,constraint,command,burden,button,fighting,corner,breakfast,coast,ceiling,class,christian,driver,mood,cathedral,colour,brain,check,committee,fleet,cheek,diary,depression,core,champion,competitor,heart,mind,energy,daughter,coal,jackson,insider,invasion,constituency,detective,curriculum,practice,compensation,preference,fragment,confusion,generation,procedure,shop,screen,darkness,launch,declaration,device,knot,collector,consequence,county,envelope,collar,football,compliance,damages,conference,department,glimpse,confidence,corporation,drawing,definition,consultation,parent,ground,million,history,minute,horizon,finding,leader,mystery,film,kiss,king,middle,investigation,goods,output,operation,meaning,studio,moscow,
3,dollar,,mile,comment,contribution,condition,discrimination,consent,contact,disaster,centre,curve,analyst,depths,warrant,compound,beginning,phenomenon,author,charles,change,letter,coach,bird,effect,media,defence,conflict,china,holiday,charity,democracy,concession,craft,hotel,card,song,blanche,code,earnings,companion,equivalent,curiosity,congress,german,dose,creature,crowd,blade,foot,exposure,downstairs,murder,location,candle,employee,rank,experiment,march,bridge,claim,farmer,lifespan,left,entry,dimension,enemy,identification,debt,chancellor,economy,hope,direction,representative,ireland,ownership,winter,demand,minimum,medal,knowledge,female,bulk,frequency,corbett,extent,slide,champagne,draft,duty,context,carpet,living,farm,cake,continent,cross,database,jesus,ford,pitch,chapel,green,cell,crack,council,packet,chin,edition,inflation,disc,championship,consumer,horn,scent,fuel,family,crop,washington,market,raid,councillor,inspector,education,practitioner,deposit,referendum,image,danger,lifetime,process,store,stage,dust,production,decree,format,ring,commissioner,course,district,fabric,dress,gang,conversion,death,demonstration,foundation,hint,expectation,subsidiary,guitar,difference,controversy,remains,land,other,literature,month,moon,judgement,member,myth,game,play,kingdom,north,proceedings,machinery,slope,program,name,,paris,
4,gold,,pound,complaint,effort,defect,panic,invitation,contradiction,explosion,clinic,datum,commentator,detail,worth,drug,closure,tourist,critic,david,decline,message,director,fish,lead,promotion,guidance,friendship,europe,morning,coalition,doctrine,contract,engine,mine,client,theme,caroline,construction,employment,fellow,incentive,desire,constitution,rebel,expense,ghost,emotion,bullet,glove,load,garage,offence,place,cigarette,employer,role,focus,,canal,evidence,guard,range,replacement,essay,domain,fire,inspection,estate,chief,environment,hostility,discipline,,kong,possession,,distribution,peak,prize,perception,gentleman,open,light,graham,favour,stick,half,limit,embassy,existence,coffin,pursuit,garden,coffee,gulf,curtain,grade,oxford,ladder,reception,church,white,gene,draw,delegation,port,crown,journal,recession,disk,competition,customer,mouth,sigh,heat,father,grain,,monopoly,visit,democrat,master,health,profession,fortune,score,photograph,delight,moment,protocol,yard,,glory,release,directive,instrument,root,constable,fate,state,fibre,flag,player,enterprise,defeat,display,institute,kind,experience,trust,music,fact,conversation,text,sand,thousand,medicine,season,planet,judgment,opponent,novel,horror,race,lord,south,report,personnel,spread,programme,phrase,,rome,
5,,,,doubt,expertise,disease,poverty,licence,contrast,incident,complex,description,consultant,height,,material,completion,visitor,designer,earl,deficit,notice,executive,flower,priority,publicity,help,interaction,france,news,entity,faction,deal,flight,restaurant,mail,track,charlie,current,expenditure,friend,option,dream,convention,russian,heap,killer,excitement,edge,hand,pain,house,penalty,point,clock,landlord,seat,interpretation,,channel,example,hero,scope,resignation,guideline,element,landing,management,finance,delegate,landscape,interest,impulse,,leeds,responsibility,,effectiveness,requirement,round,understanding,girl,remainder,noise,grant,figure,touch,inch,limitation,headquarters,grounds,cupboard,resistance,hall,cream,ocean,deck,list,,lorry,taste,organ,,muscle,drop,joint,ship,eyebrow,leaflet,scandal,file,division,dealer,pocket,smell,mass,husband,horse,,settlement,,election,officer,instruction,professional,gift,ticket,picture,disappointment,occasion,remedy,,,heaven,tour,document,interface,rope,court,future,town,furniture,jacket,side,expansion,destruction,event,institution,means,happiness,,painting,hypothesis,criticism,,soil,,nation,seconds,star,promise,organiser,plot,motion,ride,pope,west,research,supplies,stream,project,script,,york,
6,,,,gesture,opportunity,disorder,protest,official,distinction,safety,facility,equation,expert,intensity,,matter,creation,,editor,edward,delay,question,manager,grass,,,information,marriage,germany,night,fund,gorbachev,merger,force,theatre,phone,tune,diana,design,income,lover,prospect,goal,empire,,lack,monster,gaze,fist,heel,pressure,household,prosecution,present,flame,offender,stake,nature,,corridor,explanation,miner,spectrum,retirement,headline,expression,occupation,observation,housing,deputy,resource,love,look,,scotland,rights,,efficiency,standard,second,,knight,rest,pollution,howard,fraction,,mixture,pattern,home,habit,desk,struggle,hill,diet,shore,doorway,medium,,major,tone,palace,,nerve,fall,meeting,vessel,face,magazine,trend,memory,final,developer,skin,sweat,momentum,mother,sheep,,trade,,labour,sergeant,life,,membership,vote,portrait,embarrassment,period,routine,,,hell,,injunction,machine,stitch,judge,impact,village,garment,shirt,squad,innovation,harm,exhibition,library,sort,performance,,poetry,idea,debate,,surface,,philosophy,session,tide,refusal,part,poem,movie,rider,prince,,study,technology,supply,scheme,symbol,,,
7,,,,glance,potential,illness,terror,permission,involvement,suicide,field,error,guest,length,,substance,establishment,,engineer,eliot,ease,reaction,president,human,,,input,partnership,iraq,past,group,hierarchy,plan,helicopter,villa,telephone,,elizabeth,development,money,neighbour,prospects,imagination,freedom,,margin,mouse,hearing,grip,knee,risk,kitchen,punishment,site,holding,patient,status,path,,extension,implication,peasant,variety,return,page,factor,,rating,insurance,minister,setting,loyalty,manner,,wales,territory,,maintenance,total,winner,,lady,whole,signal,hunt,handful,,pile,regulation,office,ideal,door,,island,dish,,entrance,section,,motor,,temple,,protein,hold,panel,,forehead,newspaper,,particle,league,export,spine,,power,sister,,,trading,,politician,,public,,offer,voter,poster,failure,quarter,surgery,,,mist,,order,mechanism,strand,jury,objective,,glass,shoe,team,integration,killing,festival,school,type,pleasure,,radio,inequality,dialogue,,waters,,religion,times,,rejection,participant,story,scene,stand,princess,,,,traffic,task,term,,,
8,,,,impression,right,infection,violence,recognition,link,,laboratory,estimate,guide,size,,waste,formation,,historian,francis,excess,reference,prime,insect,,,intelligence,relationship,israel,schedule,movement,hitler,treaty,missile,,,,emily,evolution,profit,partner,,instinct,government,,plenty,rabbit,laugh,hole,limb,sensitivity,room,sentence,spot,lamp,plaintiff,,perspective,,line,objection,policeman,,transition,paragraph,feature,,reserve,investment,ministry,space,opposition,personality,,,,,preparation,,,,male,,smoke,johnson,incidence,,pint,restriction,staff,importance,grave,,lake,drink,,fence,,,tank,,,,stem,kick,tribunal,,grin,paper,,processor,match,import,stomach,,pulse,wife,,,,,tory,,science,,payment,,sample,fault,time,technique,,,rain,,petition,menu,string,justice,outcome,,paint,skirt,,isolation,loss,gallery,society,,progress,,recording,norm,discourse,,,,ritual,week,,will,supporter,tale,series,train,queen,,,,transfer,venture,word,,,
9,,,,joke,skill,injury,,recommendation,links,,station,function,reporter,speed,,,introduction,,interview,george,gain,reply,speaker,organism,,,intervention,,italy,watch,network,identity,,passenger,,,,helen,framework,revenue,pupil,,intention,independence,,quantity,stranger,laughter,knife,shoulder,sleep,,suspicion,target,palm,purchaser,,platform,,rail,opinion,prison,,withdrawal,stuff,ingredient,,review,lease,secretary,weather,participation,reputation,,,,,quality,,,,nurse,,sound,jones,majority,,slice,sanction,summit,necessity,nest,,lane,flavour,,flat,,,taxi,,,,tissue,let,,,hair,papers,,tape,qualification,industry,throat,,seed,,,,,,ward,,student,,pension,,version,fear,,treatment,,,shadow,,privilege,mode,tree,lawyer,result,,plate,sleeve,,recovery,removal,lecture,university,,satisfaction,,rhythm,notion,discussion,,,,sport,year,,,,verse,television,trick,,,,,,work,,,,
