,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,dollar,formula,quote,ability,absence,abuse,access,accident,accommodation,accountant,accuracy,acid,acre,action,adam,addition,administration,adult,advance,advertisement,adviser,africa,afternoon,agenda,agent,alcohol,ambition,angle,ankle,appearance
1,pound,analysis,affair,achievement,acceptance,amendment,account,alarm,airport,actor,availability,animal,area,aircraft,alice,amount,agency,album,attempt,advertising,ambassador,america,anniversary,cabinet,ally,apple,anger,arrow,blood,architecture
2,allowance,approach,allegation,activity,acquisition,appeal,address,bacterium,apartment,analyst,balance,bird,beach,american,anna,array,alliance,alternative,back,airline,assistant,australia,april,campaign,angel,basket,anxiety,ball,body,aspect
3,budget,arrangement,answer,advantage,admission,applicant,catalogue,cancer,bath,architect,capability,black,border,army,anne,average,assembly,audience,block,asset,auditor,britain,autumn,candidate,baby,beer,attraction,barrel,bone,atmosphere
4,burden,calculation,argument,advice,adoption,arrest,check,cause,bathroom,artist,capacity,breeze,boundary,assault,athelstan,being,association,band,blow,boom,bishop,china,beginning,christian,boss,bike,beauty,barrier,brain,attitude
5,cash,category,article,assistance,agreement,breach,code,cell,bedroom,author,complexity,brown,branch,attack,baker,bulk,award,best,break,brand,captain,england,birthday,coalition,brother,blanket,caution,beam,breast,background
6,cheque,component,assumption,attention,allocation,clause,comparison,chemical,building,commentator,compliance,bull,bridge,base,benjamin,charge,bank,bible,call,business,chair,europe,decade,congress,child,bottle,chaos,bell,breath,basis
7,compensation,concept,case,authority,announcement,client,connection,collapse,camp,consultant,current,bush,canal,battery,bill,class,board,book,challenge,buyer,chairman,france,episode,conservative,citizen,bread,comfort,belt,brow,behaviour
8,consumption,constraint,claim,awareness,application,conviction,content,condition,castle,critic,depth,climate,century,battle,blanche,cluster,championship,bowl,chance,capital,champion,germany,evening,constitution,colleague,breakfast,concern,bench,cheek,belief
9,cost,criterion,comment,benefit,appointment,court,contents,crash,cathedral,dancer,depths,cloud,city,boat,caroline,collection,chapter,career,change,chain,chancellor,india,fall,democracy,collector,cake,confidence,blade,chest,bias
10,credit,curve,complaint,care,approval,creditor,copy,crisis,centre,designer,detail,colour,cliff,bomb,charles,combination,charity,cast,clash,company,chief,iraq,february,democrat,companion,candle,conflict,bond,chin,character
11,currency,cycle,compromise,co-operation,arrival,crime,database,damage,chamber,editor,distance,creature,coast,carrier,charlie,concentration,charter,ceremony,contact,competitor,clerk,ireland,holiday,election,cousin,carpet,confusion,boot,collar,characteristic
12,debt,definition,conclusion,commitment,assessment,damages,date,defect,chapel,engineer,ease,crop,continent,command,clarke,core,club,channel,contrast,computer,coach,israel,hour,faction,daughter,carriage,consciousness,bottom,corpse,christ
13,deficit,design,consensus,communication,birth,defendant,datum,depression,church,expert,effectiveness,darkness,corner,craft,clinton,count,college,chart,counter,consumer,commander,italy,june,freedom,detective,cattle,contempt,brick,elbow,circumstance
14,demand,device,contradiction,conduct,certificate,discrimination,description,destruction,clinic,historian,efficiency,dawn,corridor,crew,cook,couple,colony,concert,crack,corp,commissioner,japan,march,gorbachev,doctor,champagne,controversy,brush,eyebrow,composition
