,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,dollar,formula,pound,quote,ability,abuse,access,accident,accountant,acid,acquisition,acre,action,adam,administration,admission,adult,advice,affair,africa,afternoon,alarm,album,alcohol,ally,ankle,apple,applicant,argument,army,arrow,being,black
1,accommodation,application,amount,account,absence,anger,addition,aircraft,actor,atmosphere,adoption,apartment,alliance,alice,agency,agreement,angel,agenda,allegation,america,anniversary,bell,bible,allocation,arrival,body,basket,audience,assumption,assault,ball,bulk,blanket
2,advertising,arrangement,angle,advertisement,acceptance,anxiety,address,airline,adviser,autumn,analysis,area,assembly,anna,association,amendment,animal,approach,century,american,appearance,bomb,book,availability,baby,bone,bath,buyer,basis,attack,barrel,catalogue,brown
3,allowance,array,average,article,accuracy,bias,advance,airport,agent,blood,assessment,beach,cabinet,anne,authority,announcement,bacterium,architecture,conflict,april,award,boom,card,balance,birth,brain,bathroom,client,breach,base,barrier,collection,carpet
4,asset,calculation,capacity,category,achievement,cancer,alternative,bike,ambassador,breath,assistance,border,campaign,athelstan,bank,appeal,bird,aspect,controversy,australia,band,camera,chapter,budget,birthday,breast,beauty,competitor,chance,battery,beam,contents,cloth
5,bond,capability,class,comment,activity,cause,answer,boat,analyst,breeze,closure,boundary,christian,baker,board,appointment,bull,attitude,conversation,britain,beginning,chip,coin,climate,boss,brow,bedroom,consumer,choice,battle,belt,copy,clothes
6,capital,cell,concentration,content,advantage,caution,attempt,cable,architect,cloud,co-operation,bridge,coalition,benjamin,branch,approval,bush,background,crime,china,best,clock,column,consumption,brother,cheek,beer,creditor,circumstance,camp,bench,couple,coat
7,cash,characteristic,count,coverage,ambition,chaos,back,carriage,artist,darkness,collapse,building,congress,bill,brand,arrest,character,behaviour,crisis,england,bowl,computer,desk,cost,child,chest,bottle,customer,claim,command,blade,cover,collar
8,cheque,chemical,course,description,attention,comfort,blow,carrier,assistant,dawn,communication,canal,conservative,blanche,business,case,continent,belief,criticism,english,career,engine,diary,crop,christ,chin,bread,dealer,compromise,crash,block,date,colour
9,compensation,cluster,degree,detail,attraction,confusion,break,cattle,auditor,dust,completion,castle,constitution,caroline,centre,certificate,corpse,conception,debate,europe,ceremony,explosion,edition,current,companion,elbow,breakfast,defendant,concept,crew,boot,disc,dress
10,concession,code,delay,discussion,awareness,contempt,call,coal,author,earth,compliance,cathedral,defeat,charles,channel,clause,creature,consciousness,decade,february,challenge,guitar,episode,deficit,cousin,eyebrow,cake,developer,concern,defence,bottom,disk,fabric
11,contract,combination,depth,document,benefit,curiosity,change,container,bishop,fall,conduct,chamber,delegation,charlie,charity,complaint,crowd,context,dilemma,france,champion,instrument,film,demand,daughter,face,candle,driver,conclusion,disaster,brick,display,flag
12,credit,complex,depths,entry,burden,damage,check,craft,candidate,fire,construction,chapel,democracy,clarke,charter,consent,dream,culture,dispute,french,championship,laugh,headline,distribution,death,finger,champagne,employee,condition,duty,brush,drawing,garment
13,currency,complexity,distance,essay,care,danger,comparison,equipment,captain,flame,consultation,church,empire,clinton,clinic,conviction,female,curriculum,drama,german,chart,machine,interview,drug,doctor,fist,cigarette,employer,consensus,embassy,bucket,feature,glove
14,damages,component,dose,guideline,charge,defect,connection,ford,chair,flood,conversion,city,faction,cook,college,court,figure,dialogue,incident,germany,circuit,music,journal,economy,duke,foot,coffee,holder,consequence,enemy,bullet,file,gold
15,debt,composition,equivalent,information,commitment,delight,contact,garage,chairman,grass,creation,cliff,freedom,corbett,colony,decision,fish,direction,joke,india,clash,noise,leaflet,efficiency,emperor,forehead,cream,insider,contradiction,expedition,button,fragment,green
