,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,dollar,formula,pound,quote,ability,absence,abuse,acceptance,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acquisition,action,activity,actor,adam,addition,address,administration,admission,adoption,adult,advance,advantage,advertisement,advice,adviser,affair,africa,afternoon,agency,agenda,agent,agreement,aircraft,airline,alarm,album,alcohol,alice,allegation,alliance,allocation,allowance,ally,alternative,ambassador,ambition,amendment,american,amount,analysis,angel,anger,angle,animal,ankle,anne,anniversary,announcement,appeal,appearance,apple,applicant,application,appointment,approach,april,architecture,area,argument,army,arrangement,array,arrival,arrow,article,assault,assembly,asset,assistance,assistant,association,assumption,athelstan,atmosphere,attempt,attention,attitude,attraction,audience,auditor,australia,author,authority,autumn,average,award,awareness,baby,back,background,bacterium,baker,balance,ball,bank,barrel,base,basis,basket,bath,bathroom,battery,battle,beach,beam,beauty,beer,beginning,behaviour,being,benefit,best,bible,bike,bird,birth,bishop,black,blanket,block,blood,blow,body,bond,book,boot,border,boss,bottle,bottom,bowl,branch,brand,breach,bread,break,breakfast,breast,breath,brick,bridge,britain,brother,brush,bucket,building,bull,bullet,bush,business,button,buyer,cabinet,calculation,camera,camp,cancer,candidate,candle,capacity,capital,captain,card,career,carpet,carriage,case,castle,catalogue,cathedral,cattle,cause,caution,ceiling,centre,century,ceremony,certificate,chain,chair,champion,chance,change,channel,chaos,chapter,character,charge,charity,chart,charter,check,child,chin,circle,circuit,clarke,class,cliff,clinic,cloth,cloud,cluster,co-operation,coach,coal,coast,code,collapse,collection,collector,college,colony,colour,column,combination,command,comment,commission,commitment,communication,community,company,compensation,competitor,complexity,compromise,concert,conclusion,conduct,consciousness,consensus,constable,constraint,continent,controversy,corridor,cottage,count,counter,countryside,couple,course,cover,creature,crew,crime,crisis,criticism,crown,current,curtain,custom,cycle,dance,danger,date,dawn,declaration,defender,delegate,demand,democracy,demonstration,depth,development,device,diana,diet,dilemma,disaster,discipline,discretion,door,draft,drama,draw,dream,drive,driver,dust,earl,east,education,effect,electricity,emperor,enquiry,equipment,error,estate,evidence,exchange,expansion,experiment,fabric,factory,faith,fashion,figure,final,finding,finger,fire,flag,flesh,flower,food,future,gain,garden,gentleman,goal,grade,grip,ground,guitar,half,hall,heap,holder,holiday,hospital,hour,hundred,hunt,identification,importance,inch,incidence,individual,inequality,inhabitant,instruction,iraq,journal,journey,knot,language,leaf,lesson,let,lily,line,literature,location,logic,machine,major,majority,market,material,meaning,media,membership,merit,move,noise,novel,ocean,offender,paper,parent,plan,position,practice,prayer,pressure,product,protest,register,right,self,song,spread,squad,strain,total,trace,universe,volunteer,watch,while
1,coin,formula,acre,reference,capability,lack,discrimination,failure,connection,bomb,apartment,editor,citizen,availability,gold,compound,closure,conversion,involvement,architect,charlie,comparison,answer,government,entrance,creation,female,progress,aspect,advertising,direction,analyst,clash,america,evening,entity,culture,commentator,deal,carrier,airport,cable,band,chemical,anna,complaint,coalition,delivery,budget,colleague,official,embassy,desire,clause,english,bulk,assessment,heaven,anxiety,breeze,human,elbow,caroline,birthday,approval,arrest,display,crop,creditor,client,death,campaign,february,design,region,bias,force,composition,field,departure,blade,category,attack,board,developer,help,chief,club,belief,benjamin,climate,effort,confidence,feeling,barrier,cast,clerk,england,historian,burden,fall,limit,prize,experience,girl,forward,context,organism,bell,concentration,belt,credit,needle,,habit,bench,leeds,bedroom,engine,fight,island,frequency,comfort,coffee,middle,circumstance,,damage,choice,christ,boat,fish,marriage,priest,brown,subject,distance,bone,defeat,corpse,friendship,diary,disc,boundary,kiss,champagne,front,competition,corner,export,consequence,cake,crack,dinner,brow,grin,metal,canal,europe,family,gaze,chip,complex,seal,hole,clinton,economy,menu,consumer,commissioner,datum,tape,tent,depression,conservative,clock,consumption,cost,commander,cash,life,furniture,lorry,example,city,copy,chapel,horse,characteristic,doubt,floor,department,interval,conference,criterion,hotel,chairman,championship,incentive,deficit,radio,darkness,episode,personality,possession,finance,motion,concession,glance,cousin,head,dimension,constituency,graham,generation,forest,laboratory,clothes,mist,component,joint,football,mine,gulf,content,decline,gallery,farm,school,settlement,flavour,envelope,form,control,note,court,contribution,computer,population,corp,payment,opponent,delay,remedy,exhibition,fate,exercise,imagination,consideration,detective,equation,country,debate,path,home,rating,opposition,interior,glimpse,curriculum,image,ghost,personnel,gang,recession,rumour,duke,present,fence,history,mechanism,music,fear,decade,earth,decree,spell,delegation,flow,freedom,ford,depths,growth,instrument,isabel,existence,fault,flood,hierarchy,judgement,doorway,selection,film,drawing,fortune,ride,player,grass,lady,north,health,emphasis,emission,empire,examination,facility,joke,land,explanation,monopoly,extension,search,fibre,mill,hope,manner,hero,second,thinking,pocket,flame,sign,hair,fruit,grain,past,handle,,killer,penalty,level,hook,grounds,rhythm,quarter,lane,pile,landlord,tourist,prison,minute,million,lamb,identity,popularity,metre,pace,other,inflation,living,preparation,israel,magazine,trip,,name,root,master,will,,passenger,poem,place,medicine,,professional,minority,,mess,means,press,referendum,warrant,step,sound,plot,water,patient,papers,subsidiary,planning,post,profession,ritual,temperature,,strike,,rights,,theme,,team,stress,whole,,world,,,whilst
2,currency,model,pound,,skill,plenty,terror,isolation,contact,boom,housing,person,doctor,compliance,honour,domain,completion,destruction,participation,artist,david,contrast,call,office,entry,establishment,male,,nature,publicity,guidance,consultant,conflict,china,morning,group,faction,critic,treaty,flight,port,packet,label,drug,blanche,hearing,initiative,distribution,dividend,companion,,,instinct,constitution,french,degree,description,hell,concern,curve,insect,knee,elizabeth,edition,consent,conviction,performance,potato,defendant,database,resignation,gesture,june,style,zone,fact,guard,shape,range,discovery,fist,essay,enemy,committee,employee,intervention,deputy,union,claim,bill,environment,order,contempt,laughter,challenge,crowd,governor,ireland,poet,care,spring,maximum,winner,expertise,woman,,coverage,species,cook,exposure,glove,debt,pole,,ideal,chamber,liverpool,garage,fuel,fighting,lake,impulse,courage,drink,remainder,condition,,damages,preference,christian,craft,prey,,,green,topic,pass,brain,face,grave,relationship,secret,disk,,love,cigarette,,contest,margin,import,contradiction,cream,drop,host,cheek,sigh,stone,cross,france,father,heart,container,construction,,trap,gorbachev,industry,signature,customer,minister,estimate,,,disease,councillor,lamp,format,ease,headquarters,cheque,lifetime,garment,motor,instance,province,fragment,church,sheep,defect,impression,frame,institute,period,meeting,guideline,restaurant,chancellor,division,opportunity,shift,television,rage,season,reality,,foundation,record,contract,laugh,daughter,horn,sphere,county,grant,,hill,research,coat,rain,core,partnership,manager,,shore,contents,increase,library,farmer,university,,reputation,leaflet,kind,defence,notice,jury,determination,filter,public,corporation,pension,participant,difficulty,solution,festival,objective,routine,mind,consultation,inspector,function,nation,discourse,road,house,score,rebel,landscape,handful,program,paint,monster,staff,killing,revolution,speculation,king,,screen,myth,phase,rock,risk,month,horizon,directive,teenager,expedition,supplies,independence,race,height,innovation,organ,kate,lifespan,issue,tragedy,regulation,judgment,gate,,horror,painting,glory,stand,receiver,palm,lord,south,reform,focus,energy,pope,inquiry,gear,mistake,portfolio,proof,trade,improvement,study,,plant,prospect,,spirit,,thought,thumb,smoke,,skin,rose,juice,potential,hold,,stranger,,stage,ladder,,,,park,,operator,visitor,prisoner,seconds,thousand,,origin,significance,mile,price,,poverty,resident,qualification,,newspaper,visit,,phrase,tooth,nurse,,,rail,poetry,site,philosophy,,,,,stuff,,,vote,,stop,voice,story,waters,victim,print,,scheme,rank,,,tension,,,,,,tune,,,variation,,,,,,
3,dollar,,tonne,,,shortage,violence,reflection,link,crash,shelter,user,engineer,effectiveness,medal,gene,launch,evolution,presence,dancer,jack,,letter,regime,passage,formation,,,,,guide,expert,dispute,india,night,movement,hitler,interview,,helicopter,station,phone,,matter,emily,objection,party,management,earnings,fellow,,,intention,convention,german,dose,evaluation,,confusion,edge,mouse,shoulder,marie,,decision,offence,presentation,seed,employer,enterprise,retirement,method,march,,,hint,people,,spectrum,left,knife,list,invasion,congress,firm,permission,,,concept,charles,resource,,enthusiasm,mood,obstacle,reader,treasury,scotland,scholar,duty,summer,minimum,,information,,,detail,specimen,corbett,expression,mask,insurance,shaft,,necessity,coffin,london,household,waste,pursuit,pond,pulse,emotion,wine,rest,phenomenon,,harm,,jesus,ship,rabbit,,,white,,stretch,cell,loss,remains,unity,,file,,lover,glass,,event,part,maker,difference,dish,kick,lunch,chest,smile,wood,lock,germany,husband,limb,deck,palace,,,thatcher,sector,,dealer,ministry,mass,,,illness,democrat,light,input,expenditure,leader,deposit,,nail,tank,moment,town,version,mission,,disorder,suspicion,pavement,institution,time,session,limitation,,director,league,option,switch,video,shadow,series,,,fund,recording,lease,look,princess,mouth,,district,howard,,mountain,workshop,collar,snow,element,service,,,,document,rise,museum,miner,,,scent,volume,sort,fleet,opinion,justice,loyalty,interaction,,,rent,partner,success,,guest,outcome,,perception,conversation,magistrate,index,republic,poll,route,villa,wicket,resistance,scene,mixture,programme,photograph,,,murder,scandal,,kingdom,,,tradition,procedure,,threat,week,moon,injunction,youngster,representative,supply,,rally,length,turnover,,laura,schedule,problem,,,,stair,,movie,reading,happiness,walk,rider,salt,,west,safety,impact,heat,,inspection,goods,surprise,property,,trading,,work,,shop,,,,,,wrist,torch,,throat,tree,meat,prospects,holding,,thief,,,rope,,,,square,,owner,,,,,,,status,yard,rate,,unemployment,,reserve,,publication,,,symbol,,practitioner,,,railway,verse,spot,science,,,,,thing,,,voter,,transfer,,strip,,witness,sheet,,,role,,,,,,,,,,,,,,,,,,
4,worth,,,,,,,refusal,links,explosion,,,judge,efficiency,,molecule,opening,integration,,designer,luke,,message,,,introduction,,,,,,researcher,struggle,japan,weekend,network,ideology,journalist,,missile,,telephone,,substance,helen,petition,,,employment,friend,,,motive,legislation,russian,excess,interpretation,,curiosity,shelf,,surgery,mary,,invitation,prosecution,reception,,plaintiff,framework,successor,strategy,,,,implication,troops,,,replacement,knight,page,landing,council,insider,protection,,,conception,edward,,,favour,pitch,,viewer,,wales,traveller,jurisdiction,winter,,,insight,,,perspective,virus,jones,intensity,ring,liability,tube,,purpose,cupboard,oxford,kitchen,,,river,shock,warmth,,start,situation,,,,,vessel,,,,,,track,layer,triumph,,,,memory,,servant,pint,,game,piece,manufacturer,distinction,punch,lead,meal,eyebrow,,,tunnel,italy,mother,nerve,flat,structure,,,washington,,,premium,prime,measure,,,infection,election,mirror,load,expense,officer,gift,,shoe,taxi,occasion,village,,temple,,pain,,roof,society,times,summit,provision,,executive,title,,,,silence,show,,,trust,studio,licence,,sister,nose,,ward,jackson,,peak,,dress,storm,equivalent,venture,,,,outline,trend,,peasant,,,sensation,,type,leadership,remark,panel,obligation,interface,,,reward,rival,trouble,,headline,result,,senses,dialogue,police,item,state,,trail,,,,,number,project,picture,,,suicide,,,prince,,,,process,,,year,planet,resolution,,,surplus,,,size,,,willie,spending,question,,,,wall,,mystery,,peace,,,sand,,,security,influence,intelligence,,investigation,machinery,,,,,,,,store,,,,,,,,,,,milk,,offer,,,,,stitch,,,,street,,ownership,,,,,,,value,,ratio,,,,training,,,,,term,,pupil,,,traffic,writing,target,thesis,,,,,,,,,,,,tale,,,,,,seat,,,,,,,,,,,,,,,,,,
5,,,,,,,,rejection,relation,incident,,,lawyer,quality,,particle,release,operation,,photographer,mark,,reaction,,,merger,,,,,,specialist,,kong,,organisation,marx,news,,pilot,,,,,jane,report,,,income,neighbour,,,need,statute,,extent,statistics,,delight,side,,,,,proposal,punishment,speech,,purchase,implementation,,tactic,,,,,,,,return,sword,paragraph,occupation,parliament,investment,refugee,,,definition,eliot,,,interest,tone,,,,,writer,priority,,,,knowledge,,,scope,,lewis,profile,,loan,wheel,,virtue,desk,york,room,,,,signal,,,,,,,,,,,,,,,,muscle,victory,,,,,,soul,pipe,,match,portion,source,,recipe,lift,,foot,,,,paris,,spine,pack,tower,,,,,,seller,secretary,measurement,,,injury,labour,,output,,sergeant,mail,,,train,point,,,,,pattern,,tile,,,,requirement,,member,,,,,,,,,,,,,wife,sight,,,johnson,,ridge,,jacket,sunlight,factor,,,,,script,,,worker,,,smell,,,,statement,tribunal,promise,mode,,,salary,,,,lecture,,,,discussion,policeman,object,territory,,,,,,,pair,sport,portrait,,,,,,queen,,,,system,,,,star,rule,,,transport,,,,,,,,task,,,,window,,,,pleasure,,,,,,welfare,,momentum,,proceedings,maintenance,,,,,,,,,,,,,,,,,,,sugar,,open,,,,,string,,,,terrace,,,,,,,,,,,,,,,treatment,,,,,word,,student,,,,,,,,,,,,,,,,,,,,,,,,stance,,,,,,,,,,,,,,,,,,
6,,,,,,,,removal,,,,,politician,survival,,protein,,promotion,,producer,martin,,reply,,,,,,,,,,,moscow,,organization,policy,observer,,plane,,,,,lucy,sanction,,,profit,supporter,,,passion,,,fraction,,,disappointment,slope,,,,,recommendation,sentence,,,purchaser,software,,technique,,,,,,,,withdrawal,weapon,,raid,,investor,relief,,,doctrine,francis,,,recognition,,,,,,,privilege,,,,talent,,,setting,,miller,relative,,mortgage,,,,downstairs,,,,,,wave,,,,,,,,,,,,,,,,soil,,,,,,,,shell,,play,section,supplier,,slice,roll,,forehead,,,,rome,,stroke,package,,,,,,,,spokesman,observation,,,,tory,,production,,,money,,,truck,,,,,,stimulus,,,,,,restriction,,organiser,,,,,,,,,,,,,,tail,,,kelly,,valley,,shirt,tide,feature,,,,,text,,,,,,taste,,,,warning,,,module,,,subsidy,,,,theatre,,,,negotiation,,parameter,,,,,,,,variety,,poster,,,,,,,,,,tool,,,,,succession,,,,,,,,,,,,,,,,,,,satisfaction,,,,,,youth,,pollution,,review,technology,,,,,,,,,,,,,,,,,,,sweat,,share,,,,,wire,,,,,,,,,,,,,,,,,,,,,,,,,,teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,separation,,,,,soldier,validity,,sequence,,recovery,,publisher,michael,,response,,,,,,,,,,,russia,,,politics,reporter,,vehicle,,,,,maggie,,,,revenue,,,,reason,,,percentage,,,embarrassment,surface,,,,,request,trial,,,sale,,,trick,,,,,,,,,,,,,shareholder,support,,,expectation,george,,,respect,,,,,,,responsibility,,,,understanding,,,,,mungo,sensitivity,,savings,,,,nest,,,,,,,,,,,,,,,,,,,,,,stem,,,,,,,,,,round,stream,vendor,,,tear,,hand,,,,spain,,tongue,patch,,,,,,,,,questionnaire,,,,,,,,,receipt,,,,,,,,,symptom,,,,,,standard,,president,,,,,,,,,,,,,,,,,kinnock,,,,skirt,weather,ingredient,,,,,,,,,,,touch,,,,,,,platform,,,,,,,tour,,,,talk,,variable,,,,,,,,,,sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleep,,,,,,,,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,solicitor,,,strand,,transformation,,scientist,nigel,,,,,,,,,,,,,,,,religion,,,,,,,,penny,,,,wages,,,,tendency,,,proportion,,,excitement,,,,,,suggestion,verdict,,,stake,,,,,,,,,,,,,,,,,,,,hypothesis,harry,,,sympathy,,,,,,,,,,,,,,,,walker,speed,,stock,,,,sofa,,,,,,,,,,,,,,,,,,,,,,tissue,,,,,,,,,,tournament,,,,,turn,,heel,,,,,,vein,pillow,,,,,,,,,reduction,,,,,,,,,ticket,,,,,,,,,weakness,,,,,,,,speaker,,,,,,,,,,,,,,,,,morgan,,,,suit,wind,medium,,,,,,,,,,,,,,,,,,processor,,,,,,,,,,,thread,,,,,,,,,,,,shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truth,,,,,,,,space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,transition,,,patrick,,,,,,,,,,,,,,,,,,,,,,,,rachel,,,,wealth,,,,willingness,,,quantity,,,frustration,,,,,,,,,,tenant,,,,,,,,,,,,,,,,,,,,idea,henry,,,thanks,,,,,,,,,,,,,,,,williams,stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trophy,,,,,,,neck,,,,,,wound,plate,,,,,,,,,scale,,,,,,,,,,,,,,,,,,,,,,,,,,trustee,,,,,,,,,,,,,,,,,scot,,,,trousers,,unit,,,,,,,,,,,,,,,,,,protocol,,,,,,,,,,,,,,,,,,,,,,,statue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
