,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,dollar,formula,pound,quote,ability,absence,abuse,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acquisition,action,activity,actor,adam,address,administration,adult,advantage,advertising,advice,adviser,affair,africa,afternoon,agency,agreement,aircraft,airport,alarm,album,alice,allegation,allocation,ally,ambition,amount,angel,angle,ankle,anniversary,anxiety,appeal,appearance,apple,applicant,approach,april,architecture,argument,army,array,aspect,asset,association,athelstan,atmosphere,attraction,autumn,award,back,bacterium,baker,barrel,barrier,base,basis,bath,beer,best,bill,blade,blow,boom,border,bottom,bowl,brand,bulk,business,button,candidate,career,carpet,cast,chamber,check,child,climate,collector,constituency,couple,embassy,flower,goal
1,admission,bike,acre,advertisement,awareness,acceptance,assault,entrance,diary,apartment,agenda,agent,availability,attention,alcohol,addition,attack,advance,american,benjamin,answer,care,animal,attempt,cable,approval,ambassador,conflict,america,decade,airline,alliance,battery,area,arrow,alternative,anna,assumption,analysis,boss,anger,average,chaos,datum,belt,book,breath,arrest,audience,application,buyer,arrangement,february,bible,behaviour,captain,current,category,budget,branch,bishop,beam,character,black,festival,ball,blood,bell,brick,circle,bush,burden,beach,bottle,drama,charles,brow,break,consumption,bridge,boundary,challenge,competitor,coal,communication,clock,coalition,club,chain,crew,composition,look,citizen,cycle,detective,leeds,fraction,empire,garden,hour
2,allowance,bull,half,article,belief,adoption,breach,entry,disaster,baby,background,auditor,balance,distinction,chemical,announcement,battle,commitment,analyst,birth,block,education,bird,chance,channel,assistance,appointment,confusion,australia,evening,authority,amendment,boat,capital,candle,band,anne,claim,assessment,brother,attitude,capacity,corpse,depth,bullet,catalogue,cause,bench,birthday,chip,creditor,calculation,june,christian,case,command,display,characteristic,cost,centre,cathedral,camera,episode,breeze,medal,basket,body,brown,ceiling,course,field,caution,building,bread,feature,charlie,cheek,drop,crisis,canal,cliff,champion,consumer,container,design,door,conservative,coach,cigarette,crowd,guitar,stand,female,flood,doctor,liverpool,handful,german,grass,minute
3,bond,circuit,hundred,code,conception,being,charge,gate,explosion,bathroom,bias,clerk,capability,emphasis,compound,arrival,campaign,connection,architect,french,call,employment,cattle,choice,coverage,benefit,assistant,controversy,britain,month,bank,assembly,bomb,city,dawn,chart,blanche,conclusion,compliance,colleague,beauty,dose,creature,depths,coat,century,condition,conviction,ceremony,client,damages,comparison,march,culture,circumstance,commander,emission,class,debt,charity,christ,colour,sequence,cloud,pride,blanket,bone,clarke,curtain,drive,ground,consequence,camp,breakfast,film,david,chest,handle,decline,corridor,coast,championship,customer,delivery,development,doorway,democrat,defender,cloth,expedition,horn,talk,inhabitant,flow,farmer,london,major,hitler,green,score
4,card,crash,mile,column,consciousness,conversion,crime,open,fate,bedroom,context,commissioner,change,existence,concentration,beginning,clash,contact,artist,joseph,comment,health,diet,deal,headline,co-operation,cabinet,conversation,china,morning,board,charter,carriage,colony,fire,group,caroline,contradiction,conduct,companion,confidence,equivalent,darkness,distance,collar,chapter,damage,court,concert,computer,defendant,complex,,curriculum,complaint,defence,envelope,cluster,dividend,clinic,church,contrast,song,dust,prize,boot,brain,clinton,deck,extension,grounds,counter,castle,cake,horror,edward,chin,hold,deficit,cross,continent,competition,dealer,distribution,enterprise,front,election,division,clothes,flight,instrument,watch,living,heat,gentleman,oxford,majority,iraq,leaf,seconds
5,cash,driver,million,content,discipline,death,discrimination,passage,grave,coffin,criticism,constable,comfort,extent,ingredient,closure,defeat,contribution,author,,desk,housing,fish,glance,host,consent,chair,debate,england,night,commission,clause,carrier,community,flag,label,daughter,doubt,enquiry,cousin,contempt,estimate,dream,height,elbow,collection,defect,decision,dance,core,employee,concept,,degree,compromise,fleet,filter,combination,earnings,college,count,curve,theme,fall,scene,brush,breast,cook,fence,grade,pitch,danger,chapel,champagne,motion,eliot,eyebrow,ladder,demand,east,edge,conference,developer,electricity,environment,menu,faction,football,dress,gang,organ,,male,pollution,girl,seat,number,israel,palm,wicket
6,certificate,formula,past,contents,experience,delay,drug,present,hero,cupboard,discourse,councillor,complexity,focus,mixture,collapse,enemy,effort,commentator,,invitation,insurance,hunt,glimpse,insider,consultation,chairman,dialogue,europe,occasion,company,congress,craft,country,flame,metal,diana,evidence,evaluation,family,courage,excess,earth,inch,face,cover,depression,hearing,demonstration,custom,employer,constraint,,drawing,concern,force,frequency,component,expenditure,department,crown,dimension,tune,mist,summer,bucket,cancer,corbett,flat,journey,spot,difficulty,corner,coffee,movie,francis,forehead,lift,economy,line,fault,contest,export,energy,innovation,panel,gorbachev,league,fabric,killing,pipe,,member,pressure,knight,ward,other,occupation,plant,
7,cheque,horse,pound,copy,expertise,departure,incident,seal,mystery,downstairs,ideology,delegate,control,impact,molecule,completion,fight,interest,consultant,,letter,promotion,insect,incentive,interview,future,chancellor,discussion,france,period,corp,constitution,engine,countryside,gold,music,elizabeth,expectation,examination,father,curiosity,increase,flesh,length,finger,date,disease,injunction,dinner,database,holder,definition,,english,consensus,guard,generation,element,expense,facility,duke,direction,,rain,workshop,crack,cell,ford,floor,margin,while,discretion,cottage,cream,novel,george,hair,lock,growth,north,gulf,event,import,equipment,integration,screen,kinnock,player,factory,mission,rhythm,,nurse,soil,landlord,,pair,refugee,root,
8,coin,pace,thousand,description,faith,destruction,murder,visitor,myth,garage,insight,governor,determination,importance,protein,construction,fighting,involvement,critic,,message,public,nest,laugh,magazine,grant,chief,dispute,germany,quarter,corporation,convention,gear,county,horizon,record,emily,explanation,exercise,fellow,delight,index,ghost,level,fist,disc,disorder,judgement,exhibition,device,liability,equation,,essay,consideration,headquarters,impulse,example,fortune,foundation,earl,effect,,sand,,draw,gene,graham,frame,pass,whilst,doctrine,estate,crop,picture,harry,limb,ride,incidence,rail,lake,final,industry,fibre,management,table,labour,professional,fashion,,string,,practitioner,spread,master,,percentage,regime,rose,
9,compensation,pole,tonne,detail,identity,failure,offence,,plot,home,interpretation,inspector,ease,influence,reaction,creation,invasion,participant,dancer,,note,safety,prey,lead,media,guidance,committee,interaction,india,schedule,entity,declaration,helicopter,district,lamp,recording,helen,fact,identification,friend,desire,interval,glory,metre,foot,edition,exposure,judgment,guest,disk,person,evolution,,history,criterion,officer,input,form,fund,hospital,emperor,gaze,,snow,,forward,human,howard,glass,path,,duty,farm,dish,poster,henry,mouth,rope,inequality,railway,middle,game,investor,fuel,planning,window,leader,season,furniture,,voice,,resident,stream,miner,,plenty,republic,seed,
