,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,dollar,formula,quote,ability,absence,abuse,acceptance,access,accident,accommodation,accountant,accuracy,acid,action,activity,adam,address,administration,advertising,adviser,africa,afternoon,agent,aircraft,airport,alarm,album,alice,allegation,allowance,ally,amendment,animal,ankle,approach,architecture,area,army,assembly,back,background,basket,blood,bulk,comparison
1,pound,award,account,achievement,acquisition,anger,adult,allocation,atmosphere,apartment,actor,amount,alcohol,affair,bacterium,athelstan,admission,agency,asset,ambassador,america,anniversary,arrest,barrel,attraction,beam,angel,anna,appeal,benefit,boss,breach,apple,arrow,argument,assessment,beach,assault,cabinet,ball,belt,bottom,bone,chemical,connection
2,acre,best,advertisement,advantage,addition,anxiety,agenda,alternative,attack,bath,american,angle,beer,agreement,cause,baker,advice,airline,bank,appointment,australia,appearance,bond,battery,branch,bell,baby,anne,applicant,budget,brother,caution,bird,blade,aspect,certificate,border,base,campaign,block,black,chain,brain,coal,contact
3,coin,bowl,article,ambition,adoption,chaos,attention,analysis,barrier,bathroom,analyst,availability,bottle,alliance,characteristic,benjamin,announcement,association,business,assistant,britain,april,crime,bike,bridge,camera,band,blanche,bench,burden,child,circumstance,breeze,body,assumption,college,boundary,battle,candidate,boot,blanket,circle,breast,consumer,contradiction
4,dollar,bull,bible,attitude,advance,concern,awareness,application,blow,bedroom,architect,average,bread,arrangement,combination,bill,answer,authority,buyer,auditor,china,autumn,detective,boat,cable,card,breath,caroline,case,cash,citizen,clause,brush,brow,basis,composition,camp,captain,clinton,break,candle,collection,cancer,consumption,contrast
5,gold,career,book,audience,arrival,confusion,care,array,boom,brick,artist,balance,cake,assistance,compound,brown,approval,board,cheque,bishop,continent,birthday,drug,bomb,canal,chip,cast,cousin,complaint,compensation,colleague,compliance,bush,bullet,behaviour,conduct,city,carrier,coalition,button,carpet,count,cell,demand,difference
6,half,challenge,catalogue,beauty,beginning,contempt,charity,capability,crash,building,author,calculation,champagne,co-operation,condition,charles,attempt,brand,credit,chair,country,breakfast,gang,bucket,centre,circuit,character,daughter,conviction,cost,companion,consideration,cattle,cheek,belief,course,coast,charge,congress,check,cigarette,couple,disease,distribution,distinction
7,hundred,champion,category,comfort,being,controversy,christian,client,damage,castle,collector,capacity,coffee,compromise,consequence,charlie,call,capital,creditor,chairman,embassy,ceremony,killer,carriage,channel,clock,chart,diana,court,currency,dealer,constraint,cliff,chest,bias,curriculum,colony,command,conservative,counter,cloth,crowd,heart,economy,hierarchy
8,inch,championship,chapter,commitment,birth,criticism,climate,cluster,damages,cathedral,commentator,complexity,cream,conflict,defect,clarke,chance,charter,customer,chancellor,empire,concert,killing,container,corridor,curtain,christ,elizabeth,defendant,debt,defender,criterion,cloud,chin,claim,degree,corner,commander,constituency,crack,clothes,flat,illness,electricity,interaction
9,metre,clash,column,confidence,century,danger,community,code,depression,ceiling,consultant,concentration,diet,consultation,disorder,cook,choice,commission,deposit,chief,england,decade,murder,craft,extension,curve,corpse,emily,discretion,deficit,doctor,decree,crop,elbow,concept,demonstration,countryside,defence,constitution,draw,coat,fragment,infection,energy,norm
10,mile,class,content,consciousness,change,difficulty,coverage,communication,disaster,chamber,critic,datum,dish,contract,effect,corbett,comment,committee,developer,clerk,europe,dinner,police,crew,facility,device,creature,helen,enquiry,dividend,family,directive,fish,eyebrow,conception,discipline,county,division,convention,drive,collar,glance,injury,equipment,relation
11,million,club,contents,courage,closure,dilemma,culture,complex,dust,chapel,dancer,depth,drink,conversation,element,david,consent,company,employee,coach,france,episode,possession,deck,line,direction,dance,husband,hearing,earnings,farmer,discrimination,flower,face,conclusion,drawing,district,duty,delegation,drop,colour,glimpse,muscle,export,relationship
12,penny,competition,copy,curiosity,collapse,disappointment,democracy,component,enemy,church,designer,depths,flavour,crisis,expression,earl,contribution,concession,employer,commissioner,french,evening,prison,driver,location,disc,darkness,isabel,injunction,employment,father,error,grass,finger,consensus,education,east,expedition,democrat,forward,dress,handful,nerve,factory,representation
13,pound,competitor,cover,delight,completion,embarrassment,development,computer,explosion,clinic,editor,dimension,flesh,deal,factor,edward,date,conference,estate,constable,german,event,prisoner,engine,mill,disk,dawn,jane,inquiry,expenditure,fellow,guideline,ground,fist,context,english,edge,fleet,election,handle,fabric,heap,pain,fibre,respect
14,quarter,contest,description,desire,construction,emotion,emphasis,control,exposure,coffin,engineer,distance,fruit,debate,form,eliot,decision,corp,exchange,councillor,germany,exhibition,secret,flight,mine,display,drama,kate,investigation,expense,figure,issue,insect,foot,definition,evaluation,farm,force,faction,hold,flag,hole,patient,food,tension
15,thousand,cross,desk,determination,conversion,excitement,environment,core,failure,cottage,expert,dose,ingredient,dialogue,function,ford,declaration,corporation,finance,delegate,india,february,suicide,gear,operator,envelope,dream,lady,judge,incentive,friend,legislation,landscape,forehead,discourse,examination,fault,guard,favour,hook,flame,layer,skin,fuel,
16,tonne,crown,detail,enthusiasm,creation,fate,focus,custom,fire,cupboard,fashion,ease,juice,discussion,gene,francis,effort,council,fortune,deputy,iraq,festival,victim,helicopter,passenger,fence,earth,laura,judgement,income,gentleman,liability,leaf,gaze,doctrine,exercise,forest,headquarters,gorbachev,kick,garment,margin,sleep,furniture,
17,worth,defeat,diary,experience,current,fear,freedom,database,flood,door,historian,effectiveness,lamb,dispute,habit,george,gesture,department,fund,director,ireland,guest,,horse,path,filter,feature,lily,judgment,inflation,girl,licence,mist,grin,doubt,experiment,gulf,intelligence,government,laugh,glove,mess,stem,goods,
18,,draft,document,glory,cycle,feeling,gain,delivery,harm,doorway,journalist,efficiency,meal,friendship,isolation,graham,gift,entity,housing,executive,israel,headline,,ladder,rail,frame,film,lucy,jurisdiction,money,hero,limitation,mouse,grip,equation,expertise,hill,mission,hitler,lead,green,pair,stomach,grain,
19,,duke,edition,happiness,death,frustration,health,design,heat,downstairs,lawyer,emission,meat,intervention,mechanism,grant,help,firm,insider,governor,italy,holiday,,landing,railway,glass,ghost,maggie,jury,payment,inhabitant,necessity,nest,hand,evidence,field,island,operation,kinnock,left,hair,piece,stroke,household,
20,,emperor,entry,hope,decline,guilt,human,domain,incident,entrance,maker,equivalent,milk,involvement,molecule,harry,intention,foundation,insurance,head,japan,host,,lift,road,horizon,guitar,marie,justice,pension,knight,need,palm,heel,evolution,grade,lake,personnel,labour,let,jacket,pile,surgery,import,
21,,female,essay,imagination,delay,hostility,identity,enterprise,loss,floor,photographer,estimate,mixture,marriage,mood,henry,invitation,group,investment,inspector,kingdom,hour,,lorry,route,impulse,heaven,mary,offence,price,landlord,obligation,plant,horn,expectation,guidance,land,pilot,majority,lock,knot,plenty,tissue,industry,
22,,fight,example,insight,departure,joke,impact,file,pollution,front,poet,excess,pint,meeting,organism,howard,letter,holding,investor,leader,kong,interview,,missile,site,instrument,hell,mother,offender,profit,lover,obstacle,pond,knee,explanation,history,middle,raid,minority,look,mask,plot,treatment,machinery,
23,,fighting,format,instinct,destruction,laughter,importance,framework,pressure,gallery,politician,extent,potato,negotiation,pattern,hunt,message,institute,lease,magistrate,leeds,journey,,motor,station,lamp,horror,princess,penalty,receipt,master,option,prey,knife,fact,inspection,mountain,rank,opposition,move,paint,sample,vein,manufacturer,
24,,final,guide,knowledge,discovery,panic,improvement,generation,rain,garage,producer,flow,recipe,partnership,phenomenon,jack,mistake,institution,loan,manager,liverpool,june,,pack,street,light,jesus,queen,petition,rent,miner,policy,rabbit,limb,faith,instruction,north,reserve,parliament,open,patch,score,virus,market,
25,,football,image,life,establishment,publicity,independence,identification,recession,garden,publisher,fraction,salt,peace,protein,jackson,notice,joint,mail,member,london,lunch,,plane,tourist,machine,kiss,rachel,plaintiff,revenue,neighbour,privilege,rose,mouth,finding,laboratory,ocean,sergeant,party,pace,pillow,sequence,wound,power,
26,,formula,information,lifetime,existence,rage,individual,implementation,resistance,gate,reporter,frequency,scent,resolution,reaction,james,objection,ministry,mortgage,minister,moscow,march,,ride,track,mirror,label,robyn,proceedings,reward,nurse,problem,sand,nail,grounds,lecture,park,service,politics,pass,pocket,sheet,,premium,
27,,game,instance,loyalty,expansion,rumour,inequality,input,shock,grave,researcher,height,smell,situation,result,john,offer,monopoly,ownership,officer,nation,minute,,shaft,traffic,motion,lord,ruth,prosecution,salary,owner,procedure,seed,neck,hint,lesson,part,staff,prime,pitch,ring,shelf,,production,
28,,goal,item,memory,fall,scandal,influence,integration,shortage,hall,scholar,incidence,sugar,struggle,root,johnson,opportunity,office,portfolio,organiser,oxford,moment,,shell,trail,noise,love,sarah,punishment,spending,participant,protection,sheep,needle,hypothesis,literature,peak,task,protest,play,seal,slice,,sale,
29,,holder,journal,mind,formation,sensation,initiative,interface,smoke,home,scientist,increase,taste,treaty,stimulus,jones,order,organisation,property,president,paris,month,,ship,train,panel,metal,sister,trial,subsidy,partner,provision,snow,nose,idea,medicine,point,troops,referendum,punch,shirt,sphere,,supplier,
30,,honour,language,passion,future,silence,innovation,maintenance,storm,hospital,traveller,index,wine,,strain,joseph,permission,organization,public,representative,republic,morning,,tank,transport,phone,monster,susan,tribunal,surplus,peasant,regulation,soil,opponent,ideal,painting,port,unit,reform,right,shoe,strand,,supplies,
31,,king,leaflet,personality,growth,speculation,interest,management,strike,hotel,writer,intensity,,,stress,kelly,plan,parent,purchase,secretary,rome,night,,taxi,tunnel,pipe,moon,wife,verdict,turnover,policeman,remedy,species,rope,ideology,performance,portion,volunteer,regime,roll,signature,stream,,supply,
32,,league,link,pleasure,introduction,surprise,leadership,method,sunlight,house,,interval,,,substance,lewis,position,society,purchaser,solicitor,russia,occasion,,truck,yard,plate,movie,,warrant,unemployment,portrait,requirement,specimen,shoulder,implication,philosophy,present,wing,resignation,seconds,skirt,stretch,,trade,
33,,major,links,popularity,invasion,suspicion,media,mode,threat,interior,,length,,,symbol,luke,preference,subsidiary,savings,speaker,russian,place,,vehicle,,pulse,music,,witness,wages,practitioner,restriction,spring,sight,impression,planning,prospect,,seat,shift,sleeve,string,,trading,
34,,male,list,pride,lack,sympathy,membership,model,tide,kitchen,,level,,,symptom,mark,promise,venture,sector,spokesman,scotland,radio,,vessel,,receiver,mystery,,,,priest,rule,tree,spine,interpretation,practice,province,,thatcher,shot,stitch,strip,,waste,
35,,match,magazine,pursuit,launch,terror,merit,module,weather,lane,,lifespan,,,technique,martin,proposal,,seller,successor,spain,reception,,weapon,,screen,novel,,,,pupil,sanction,water,sword,kind,preparation,region,,ticket,slide,suit,table,,,
36,,medal,material,reputation,merger,tragedy,movement,network,wind,library,,limit,,,tendency,michael,recommendation,,share,trustee,union,schedule,,wheel,,signal,planet,,,,resident,statute,wood,tail,logic,presentation,remains,,tory,spell,sweat,variety,,,
37,,player,menu,satisfaction,occupation,trouble,other,package,,living,,load,,,trend,miller,refusal,,shareholder,,wales,season,,,,sound,poem,,,,servant,,,thigh,manner,profession,ridge,,vote,stand,torch,whole,,,
38,,pole,name,self,opening,uncertainty,participation,packet,,museum,,mass,,,type,morgan,remark,,stake,,york,session,,,,tape,poetry,,,,soldier,,,throat,marx,program,river,,voter,start,towel,,,,
39,,pope,news,senses,origin,violence,people,platform,,organ,,maximum,,,variation,mungo,reply,,stock,,,show,,,,tile,prayer,,,,student,,,thumb,matter,programme,settlement,,,step,trousers,,,,
40,,prince,newspaper,skill,passage,,poverty,process,,palace,,measure,,,weakness,nigel,request,,telephone,,,spot,,,,tray,reality,,,,supporter,,,tongue,meaning,qualification,shore,,,stick,uniform,,,,
41,,prize,note,spirit,past,,priority,processor,,pavement,,measurement,,,,patrick,response,,tenant,,,stage,,,,tube,recording,,,,teacher,,,tooth,means,questionnaire,side,,,stop,white,,,,
42,,professional,observer,strength,period,,progress,product,,pool,,medium,,,,paul,return,,transaction,,,summer,,,,viewer,rhythm,,,,teenager,,,waist,motive,reading,slope,,,switch,,,,,
43,,race,official,success,phase,,promotion,project,,restaurant,,minimum,,,,peter,sign,,treasury,,,time,,,,wave,ritual,,,,thief,,,wrist,myth,research,south,,,tear,,,,,
44,,rally,outline,talent,presence,,prospects,protocol,,roof,,momentum,,,,philip,speech,,trust,,,times,,,,wire,rock,,,,woman,,,,nature,routine,state,,,touch,,,,,
45,,rebel,page,virtue,recovery,,recognition,resource,,room,,number,,,,richard,statement,,,,,tour,,,,,scene,,,,worker,,,,notion,school,summit,,,trace,,,,,
46,,record,paper,vision,rejection,,refugee,scheme,,shelter,,output,,,,robert,suggestion,,,,,trip,,,,,series,,,,youngster,,,,object,science,territory,,,trap,,,,,
47,,rider,papers,warmth,release,,relief,software,,shop,,particle,,,,scot,thanks,,,,,week,,,,,shadow,,,,,,,,objective,setting,town,,,trick,,,,,
48,,rival,paragraph,wealth,remainder,,responsibility,solution,,sofa,,percentage,,,,scott,visit,,,,,weekend,,,,,sigh,,,,,,,,observation,specialist,valley,,,turn,,,,,
49,,round,parameter,willingness,removal,,rights,space,,square,,population,,,,simon,warning,,,,,winter,,,,,smile,,,,,,,,opinion,statistics,village,,,walk,,,,,
50,,second,photograph,,replacement,,role,specification,,stair,,potential,,,,smith,will,,,,,year,,,,,song,,,,,,,,outcome,study,washington,,,watch,,,,,
51,,sport,picture,,rest,,safety,spectrum,,statue,,proportion,,,,stephen,wish,,,,,,,,,,soul,,,,,,,,perception,survey,waters,,,wicket,,,,,
52,,squad,poll,,retirement,,scope,standard,,stone,,quality,,,,taylor,,,,,,,,,,,story,,,,,,,,person,teaching,west,,,,,,,,
53,,star,post,,revolution,,security,strategy,,store,,quantity,,,,thomas,,,,,,,,,,,stranger,,,,,,,,perspective,test,zone,,,,,,,,
54,,team,poster,,rise,,significance,structure,,temple,,range,,,,tony,,,,,,,,,,,studio,,,,,,,,phrase,thesis,,,,,,,,,
55,,title,press,,selection,,spread,system,,tent,,rate,,,,walker,,,,,,,,,,,style,,,,,,,,possibility,training,,,,,,,,,
56,,tournament,print,,separation,,status,technology,,terrace,,rating,,,,ward,,,,,,,,,,,tale,,,,,,,,premise,university,,,,,,,,,
57,,triumph,profile,,succession,,support,tool,,theatre,,ratio,,,,william,,,,,,,,,,,television,,,,,,,,principle,work,,,,,,,,,
58,,trophy,publication,,transfer,,survival,vendor,,tower,,reduction,,,,williams,,,,,,,,,,,theme,,,,,,,,proof,workshop,,,,,,,,,
59,,victory,reader,,transformation,,unity,,,villa,,relative,,,,willie,,,,,,,,,,,tune,,,,,,,,proposition,writing,,,,,,,,,
60,,while,reference,,transition,,welfare,,,visitor,,risk,,,,wilson,,,,,,,,,,,universe,,,,,,,,purpose,,,,,,,,,,
61,,whilst,register,,withdrawal,,youth,,,wall,,scale,,,,wright,,,,,,,,,,,verse,,,,,,,,question,,,,,,,,,,
62,,winner,report,,,,,,,window,,sensitivity,,,,,,,,,,,,,,,video,,,,,,,,reason,,,,,,,,,,
63,,world,review,,,,,,,,,shape,,,,,,,,,,,,,,,voice,,,,,,,,reflection,,,,,,,,,,
64,,,script,,,,,,,,,size,,,,,,,,,,,,,,,,,,,,,,,religion,,,,,,,,,,
65,,,search,,,,,,,,,speed,,,,,,,,,,,,,,,,,,,,,,,sense,,,,,,,,,,
66,,,section,,,,,,,,,stability,,,,,,,,,,,,,,,,,,,,,,,sort,,,,,,,,,,
67,,,sentence,,,,,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,stance,,,,,,,,,,
68,,,source,,,,,,,,,target,,,,,,,,,,,,,,,,,,,,,,,subject,,,,,,,,,,
69,,,stuff,,,,,,,,,temperature,,,,,,,,,,,,,,,,,,,,,,,tactic,,,,,,,,,,
70,,,talk,,,,,,,,,total,,,,,,,,,,,,,,,,,,,,,,,term,,,,,,,,,,
71,,,text,,,,,,,,,value,,,,,,,,,,,,,,,,,,,,,,,theory,,,,,,,,,,
72,,,thread,,,,,,,,,variable,,,,,,,,,,,,,,,,,,,,,,,thing,,,,,,,,,,
73,,,tone,,,,,,,,,volume,,,,,,,,,,,,,,,,,,,,,,,thinking,,,,,,,,,,
74,,,user,,,,,,,,,weight,,,,,,,,,,,,,,,,,,,,,,,thought,,,,,,,,,,
75,,,version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,topic,,,,,,,,,,
76,,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tradition,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truth,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,understanding,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validity,,,,,,,,,,
