,0,1,2,3,4
0,dollar,pound,quote,accident,adam
1,formula,alarm,ability,accountant,alice
2,access,album,absence,acre,anna
3,accommodation,angel,abuse,actor,anne
4,accuracy,angle,acceptance,administration,athelstan
5,acid,ankle,account,adult,baker
6,acquisition,apartment,achievement,adviser,bell
7,activity,apple,action,africa,benjamin
8,addition,arrow,address,afternoon,bill
9,adoption,baby,admission,agency,blanche
10,advance,back,advertisement,agent,brother
11,advantage,ball,advice,airline,brown
12,advertising,barrel,affair,airport,caroline
13,aircraft,barrier,agenda,alliance,charles
14,alcohol,basket,agreement,ally,charlie
15,allocation,bath,allegation,ambassador,clarke
16,allowance,bathroom,ambition,america,clinton
17,alternative,battery,anger,american,colleague
18,amendment,beach,announcement,analyst,cook
19,amount,beam,answer,anniversary,corbett
20,analysis,bedroom,anxiety,appearance,cousin
21,animal,beer,appeal,appointment,daughter
22,applicant,belt,approach,april,david
23,application,bench,approval,architect,diana
24,arrangement,bike,argument,architecture,earl
25,array,bird,article,area,edward
26,assessment,black,aspect,army,eliot
27,asset,blade,assumption,arrest,elizabeth
28,assistance,blanket,atmosphere,arrival,emily
29,availability,blood,attack,artist,father
30,average,blow,attempt,assault,ford
31,bacterium,boat,attention,assembly,francis
32,balance,body,attitude,assistant,friend
33,benefit,bomb,audience,association,george
34,block,bone,awareness,attraction,graham
35,budget,boom,background,auditor,grant
36,bulk,boot,basis,australia,harry
37,buyer,bottle,beauty,author,helen
38,calculation,bottom,behaviour,authority,henry
39,capability,bowl,belief,autumn,howard
40,capacity,brain,bias,award,hunt
41,care,bread,breach,band,husband
42,carrier,break,burden,bank,isabel
43,cash,breakfast,call,base,jack
44,cell,breast,case,battle,jackson
45,change,breath,category,beginning,james
46,characteristic,breeze,cause,being,jane
47,check,brick,caution,best,john
48,chemical,bridge,chance,bible,johnson
49,cheque,brow,chaos,birth,jones
50,client,brush,character,birthday,joseph
51,climate,bucket,choice,bishop,kate
52,closure,bull,christ,board,kelly
53,cluster,bullet,circumstance,bond,kinnock
54,co-operation,button,claim,book,lady
55,coal,cable,clause,border,lamb
56,code,cake,comment,boss,lane
57,collapse,camera,commitment,boundary,laura
58,combination,candle,comparison,branch,lewis
59,communication,card,complaint,brand,lily
60,compensation,carpet,compromise,britain,lord
61,completion,carriage,concept,building,lover
62,complex,cast,conception,bush,lucy
63,complexity,cattle,concern,business,luke
64,compliance,ceiling,conclusion,cabinet,maggie
65,component,chain,condition,camp,marie
66,composition,champagne,conduct,campaign,mark
67,compound,cheek,confidence,canal,martin
68,computer,chest,conflict,cancer,mary
69,concentration,chin,confusion,candidate,michael
70,constraint,chip,connection,capital,miller
71,construction,cigarette,consciousness,captain,morgan
72,consumer,circle,consensus,career,mother
73,consumption,cliff,consent,castle,mungo
74,contents,clock,consequence,catalogue,nigel
75,control,cloth,consideration,cathedral,patrick
76,conversion,clothes,consultation,centre,paul
77,core,cloud,contact,century,penny
78,cost,coat,contempt,ceremony,peter
79,counter,coffee,content,certificate,philip
80,creation,coffin,context,chair,rachel
81,credit,coin,contradiction,chairman,richard
82,creditor,collar,contrast,challenge,robert
83,crisis,colour,contribution,chamber,robyn
84,crop,column,controversy,champion,rose
85,currency,comfort,conversation,championship,ruth
86,curriculum,container,conviction,chancellor,sarah
87,curve,corner,copy,channel,scot
88,custom,corpse,courage,chapel,scott
89,customer,cottage,coverage,chapter,simon
90,cycle,cover,criterion,charge,sister
91,damage,crack,criticism,charity,smith
92,damages,craft,curiosity,chart,stephen
93,database,crash,danger,charter,susan
94,datum,cream,deal,chief,taylor
95,debt,creature,debate,child,thatcher
96,decline,crew,decision,china,thomas
97,defect,cross,declaration,christian,tony
98,deficit,crowd,defendant,church,walker
99,delay,cupboard,definition,circuit,ward
100,delivery,curtain,delight,citizen,wife
101,demand,dance,democracy,city,william
102,deposit,darkness,demonstration,clash,williams
103,depression,dawn,description,class,willie
104,depth,deck,desire,clerk,wilson
105,design,depths,detail,clinic,wright
106,destruction,desk,determination,club,
107,development,dinner,dialogue,coach,
108,device,disc,difference,coalition,
109,diet,dish,difficulty,coast,
110,dimension,disk,dilemma,collection,
111,directive,door,disappointment,collector,
112,disaster,doorway,discipline,college,
113,discovery,downstairs,discourse,colony,
114,disease,draw,discretion,command,
115,display,drawing,discrimination,commander,
116,distance,dress,discussion,commentator,
117,distribution,drink,disorder,commission,
118,dividend,drive,dispute,commissioner,
119,dollar,drop,distinction,committee,
120,domain,dust,doctrine,community,
121,dose,earth,document,companion,
122,drug,edge,doubt,company,
123,earnings,elbow,dream,competition,
124,ease,enemy,effect,competitor,
125,economy,entrance,effort,concert,
126,effectiveness,envelope,embarrassment,concession,
127,efficiency,episode,emotion,conference,
128,electricity,explosion,emphasis,congress,
129,element,eyebrow,enquiry,conservative,
130,emission,fabric,enthusiasm,constable,
131,employment,face,entity,constituency,
132,energy,factory,error,constitution,
133,engine,fall,essay,consultant,
134,enterprise,feature,evidence,contest,
135,environment,fence,evolution,continent,
136,equation,finger,example,contract,
137,equipment,fire,excitement,convention,
138,equivalent,fish,exercise,corp,
139,estimate,fist,existence,corporation,
140,evaluation,flame,expectation,corridor,
141,examination,flat,experience,council,
142,excess,flesh,expertise,councillor,
143,exchange,floor,explanation,count,
144,expansion,flower,expression,country,
145,expenditure,foot,extent,countryside,
146,expense,forehead,fact,county,
147,experiment,forward,faith,couple,
148,export,fragment,fate,course,
149,exposure,frame,fault,court,
150,extension,front,favour,crime,
151,facility,fruit,fear,critic,
152,factor,furniture,feeling,crown,
153,failure,game,finding,culture,
154,fibre,gang,flavour,current,
155,file,garage,focus,dancer,
156,filter,garden,freedom,date,
157,flood,garment,friendship,dealer,
158,flow,gate,frustration,death,
159,food,gear,gaze,decade,
160,form,ghost,gesture,decree,
161,format,gift,glance,defeat,
162,formation,girl,glimpse,defence,
163,formula,glass,glory,defender,
164,fraction,glove,goal,degree,
165,framework,gold,grounds,delegate,
166,frequency,grass,guidance,delegation,
167,fuel,grave,guideline,democrat,
168,function,green,guilt,department,
169,gain,grin,habit,departure,
170,gene,grip,happiness,deputy,
171,generation,ground,harm,designer,
172,goods,guitar,hearing,detective,
173,grain,hair,help,developer,
174,growth,hand,hierarchy,diary,
175,handle,heap,hint,direction,
176,health,heart,hitler,director,
177,heat,heaven,hope,district,
178,height,heel,hostility,division,
179,housing,helicopter,hypothesis,doctor,
180,human,hell,idea,draft,
181,ideal,hill,identity,drama,
182,identification,hold,ideology,driver,
183,impact,hole,illness,duke,
184,implementation,hook,image,duty,
185,import,horizon,imagination,east,
186,improvement,horn,implication,edition,
187,impulse,horror,importance,editor,
188,incentive,horse,impression,education,
189,incidence,hour,incident,election,
190,income,inch,influence,embassy,
191,increase,insect,injunction,emperor,
192,index,jacket,inquiry,empire,
193,individual,juice,insight,employee,
194,industry,kick,instance,employer,
195,inequality,killer,instinct,engineer,
196,infection,killing,intention,england,
197,inflation,kiss,interaction,english,
198,information,kitchen,interest,entry,
199,ingredient,knee,interpretation,establishment,
200,injury,knife,intervention,estate,
201,innovation,knot,investigation,europe,
202,input,ladder,involvement,evening,
203,inspection,lake,issue,event,
204,instruction,lamp,jesus,executive,
205,instrument,landing,joke,exhibition,
206,insurance,laugh,judgement,expedition,
207,integration,layer,judgment,expert,
208,intelligence,lead,kind,faction,
209,intensity,leaf,knowledge,family,
210,interface,leaflet,lack,farm,
211,interval,lift,language,farmer,
212,introduction,light,laughter,fashion,
213,investment,limb,lesson,february,
214,isolation,line,let,fellow,
215,item,lock,letter,female,
216,legislation,look,life,festival,
217,length,lorry,link,field,
218,level,lunch,links,fight,
219,liability,machine,list,fighting,
220,lifespan,mask,logic,figure,
221,limit,meal,love,film,
222,limitation,meat,loyalty,final,
223,load,menu,manner,finance,
224,loss,metal,marx,firm,
225,machinery,metre,material,flag,
226,maintenance,mile,matter,fleet,
227,management,milk,meaning,flight,
228,margin,mill,means,football,
229,market,mine,memory,force,
230,mass,minute,merit,forest,
231,maximum,mirror,mess,fortune,
232,measure,missile,message,foundation,
233,measurement,mist,mind,france,
234,mechanism,monster,mistake,french,
235,medium,moon,moment,fund,
236,method,mountain,mood,future,
237,million,mouse,motion,gallery,
238,minimum,mouth,motive,gentleman,
239,mixture,move,mystery,german,
240,mode,movie,myth,germany,
241,model,muscle,nature,gorbachev,
242,module,nail,necessity,government,
243,molecule,neck,need,governor,
244,momentum,needle,norm,grade,
245,money,nerve,note,group,
246,mortgage,nest,notice,guard,
247,motor,night,notion,guest,
248,negotiation,nose,object,guide,
249,network,ocean,objection,gulf,
250,noise,open,objective,half,
251,number,opponent,obligation,hall,
252,offer,pack,observation,handful,
253,operation,paint,obstacle,head,
254,operator,pair,occasion,headline,
255,option,palm,offence,headquarters,
256,order,panel,offender,hero,
257,organism,panic,opinion,historian,
258,other,paper,opportunity,history,
259,output,pass,opposition,holder,
260,ownership,patch,origin,holding,
261,pace,path,outcome,holiday,
262,package,pavement,outline,home,
263,packet,phone,page,honour,
