,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,dollar,formula,pound,quote,ability,absence,abuse,access,accommodation,account,accountant,accuracy,acid,acquisition,action,actor,adam,administration,advantage,advertisement,adviser,affair,africa,afternoon,agency,agent,aircraft,airport,alarm,album,alcohol,alice,allegation,alliance,allowance,ally,amendment,amount,angel,anger,angle,animal,ankle,anniversary,anxiety,apartment,appeal,april,area,army,arrangement,athelstan,atmosphere,attraction,audience,background,baker,ball,barrier,bath,bell,bible,blanket,book,bottom,bowl,brand,britain,budget,bulk,certificate,challenge,chapter,college,english
1,asset,accident,acre,article,acceptance,arrest,activity,advance,addition,address,analyst,availability,approach,adoption,admission,adult,benjamin,architecture,aspect,advertising,ambassador,agreement,america,breakfast,assistance,buyer,airline,branch,barrel,alternative,beer,anna,argument,campaign,compensation,baby,approval,average,breath,bias,array,apple,arrow,association,blood,bedroom,applicant,autumn,border,captain,composition,count,beam,holiday,beauty,belt,brown,blow,beach,brick,bush,christ,carpet,collection,corner,champion,company,constituency,burden,couple,course,final,column,degree,french
2,bank,bike,beginning,category,achievement,arrival,agenda,back,base,advice,architect,balance,bacterium,allocation,announcement,american,bill,business,basis,camera,appointment,clash,australia,decade,benefit,citizen,boat,cable,basket,band,bottle,anne,assumption,candidate,debt,birth,assembly,calculation,breeze,caution,characteristic,bird,blade,ceremony,brain,chain,bench,february,capital,command,dance,crown,emission,invitation,contrast,black,clarke,boot,boundary,building,clinton,christian,cloth,crime,edge,championship,contract,england,consumption,crowd,curriculum,goal,edition,institute,language
3,bond,bull,class,content,ambition,assault,attempt,break,battery,answer,artist,capability,chemical,analysis,consideration,appearance,charles,climate,breach,catalogue,assistant,co-operation,china,dinner,board,client,bomb,carriage,bathroom,chart,bread,blanche,belief,coalition,dividend,birthday,authority,comparison,chaos,concern,cluster,cattle,body,competition,breast,department,case,june,city,commander,guitar,duke,energy,journey,curiosity,coat,corbett,brush,bridge,castle,cook,conception,clothes,detective,front,club,corp,ireland,cost,favour,discipline,margin,journal,institution,meaning
4,card,circuit,depth,contents,attention,attack,attitude,change,camp,block,author,capacity,combination,application,decision,award,charlie,communication,chance,copy,auditor,compromise,continent,episode,care,collector,carrier,coal,bucket,kiss,cake,caroline,claim,conservative,earnings,boss,charter,concentration,cloud,confusion,constraint,crop,bone,concert,cancer,estate,conviction,march,coast,defence,horn,earl,exposure,permission,delight,collar,graham,crack,canal,cathedral,eliot,consciousness,fabric,diary,left,coach,corporation,kingdom,deficit,half,drawing,penalty,magazine,medal,name
5,cash,driver,depths,context,awareness,battle,behaviour,check,centre,call,commentator,comfort,component,assessment,enquiry,best,david,community,charge,cover,bishop,conflict,country,evening,charity,competitor,craft,corridor,button,label,champagne,diana,concept,democracy,employment,brother,clause,dose,creature,contempt,curve,fish,brow,conference,cause,factory,court,spring,colony,duty,instrument,emperor,flow,place,emotion,colour,howard,grip,channel,century,ford,culture,fibre,drama,middle,defender,firm,kong,demand,handful,education,quarter,newspaper,oxford,origin
6,cheque,formula,distance,coverage,commitment,boom,being,counter,clinic,comment,consultant,complexity,compound,code,entry,cast,edward,computer,choice,display,cabinet,connection,empire,headline,foundation,customer,crash,line,candle,record,cigarette,elizabeth,conclusion,democrat,income,career,commission,equivalent,darkness,controversy,cycle,flower,bullet,contest,cell,farm,creditor,,countryside,embassy,music,king,heat,reception,excitement,dress,hunt,hook,cliff,chamber,lamb,discourse,furniture,essay,prospect,division,group,leeds,economy,living,grade,round,observer,school,phrase
7,coin,horse,height,date,confidence,closure,circumstance,delay,complex,complaint,critic,control,device,completion,examination,character,francis,consumer,consequence,domain,chair,consultation,europe,hour,fund,dealer,crew,mail,ceiling,recording,coffee,emily,consensus,election,payment,child,committee,estimate,dawn,criticism,datum,fruit,cheek,convention,condition,garage,damages,,county,expedition,opening,knight,intensity,return,expression,flag,jackson,kick,cross,chapel,marx,doctrine,garment,film,right,football,holding,liverpool,electricity,majority,guidance,score,papers,university,stem
8,credit,licence,hundred,definition,contribution,collapse,conduct,draw,facility,desk,designer,ease,drug,compliance,hearing,dancer,george,design,criterion,file,chairman,contact,france,interview,grant,developer,engine,operator,chip,release,cream,helen,contradiction,faction,pension,colleague,concession,excess,dream,danger,dimension,grass,chest,demonstration,damage,hotel,defendant,,district,fleet,organ,lady,light,spot,feeling,glove,johnson,killer,flood,church,rose,evolution,glass,horror,shore,game,joint,london,expenditure,minority,guide,second,press,,term
9,currency,lorry,inch,description,courage,crisis,discretion,drive,field,discussion,editor,effectiveness,effect,construction,incident,fashion,harry,development,difference,format,chancellor,conversation,german,lunch,help,employee,flight,packet,clock,rock,diet,isabel,doubt,gorbachev,price,companion,congress,fraction,dust,dilemma,direction,insect,chin,event,defect,library,injunction,,east,force,play,lord,noise,surprise,gaze,gold,jones,knot,forest,circle,thatcher,existence,goods,movie,side,league,lease,scotland,expense,number,instruction,triumph,proceedings,,tongue
10,deposit,motor,length,detail,desire,death,exercise,drop,ground,letter,engineer,efficiency,element,conversion,inquiry,feature,henry,enterprise,difficulty,gallery,chief,deal,germany,minute,organisation,employer,helicopter,passenger,coffin,soul,dish,jane,evidence,hitler,profit,cousin,consent,incidence,earth,disappointment,equation,leaf,corpse,exhibition,depression,office,judgment,,gulf,guard,rhythm,prince,pollution,tour,gesture,green,kelly,ladder,hill,cottage,ward,faith,machinery,mystery,slope,match,manufacturer,wales,export,part,lesson,victory,publication,,word
11,dollar,pace,level,document,determination,decline,habit,forward,headquarters,message,expert,equipment,entity,core,investigation,female,jack,environment,example,image,clerk,debate,india,month,organization,holder,landing,rail,container,studio,drink,kate,expectation,kinnock,rent,daughter,constitution,increase,fall,discrimination,fragment,mouse,elbow,festival,disease,post,jury,,island,intelligence,roll,princess,pressure,tourist,glimpse,jacket,lewis,lift,lake,doorway,washington,freedom,metal,novel,while,player,merger,york,fuel,people,medicine,wicket,publisher,,
12,exchange,pole,lifespan,glance,effort,defeat,judgement,gain,home,mistake,farmer,isolation,error,creation,questionnaire,figure,james,finance,extent,leaflet,commissioner,dialogue,iraq,morning,protection,inhabitant,launch,railway,cupboard,track,flavour,laura,explanation,labour,revenue,doctor,council,index,fire,embarrassment,frequency,nest,eyebrow,lecture,disorder,restaurant,liability,,land,officer,scene,queen,soil,trip,happiness,mask,miller,opponent,lane,entrance,,hierarchy,paint,painting,whilst,professional,monopoly,,growth,percentage,practice,winner,review,,
13,fortune,race,metre,guideline,emphasis,departure,manner,handle,hospital,note,historian,load,experiment,current,report,guest,john,future,fault,media,constable,dispute,israel,news,refugee,insider,missile,route,curtain,,food,lily,fact,leader,salary,family,declaration,limit,flame,fear,generation,palm,face,meeting,failure,shop,murder,,north,personnel,signature,,sunlight,visit,hint,patch,morgan,pitch,mill,garden,,history,paper,plot,wing,season,ownership,,household,plenty,profession,,society,,
