,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
0,dollar,formula,pound,quote,ability,absence,abuse,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acquisition,action,activity,actor,adam,addition,address,administration,admission,adult,advance,advertisement,advertising,advice,affair,africa,afternoon,agency,agenda,agent,agreement,aircraft,alarm,album,alcohol,alice,alliance,allowance,ally,ambition,amendment,american,amount,analysis,angel,angle,animal,ankle,anniversary,apartment,apple,applicant,appointment,approval,april,architect,architecture,area,army,array,arrest,arrow,aspect,assembly,asset,assumption,audience,auditor,australia,autumn,average,award,awareness,baker,balance,band,bank,barrel,barrier,battle,beach,beam,beauty,beginning,being,belt,bench,benjamin,bishop,black,block,blood,blow,body,bone,boom,border,bottom,bowl,branch,brand,breath,breeze,brick,bridge,brush,burden,bush,business,buyer,cable,call,camera,campaign,cancer,candidate,candle,capital,captain,card,care,career,castle,cause,century,ceremony,champion,change,chapter,charge,charity,cheek,christ,christian,church,circuit,city,class,clinic,closure,co-operation,colony,colour,commitment,conduct,constraint,control,conviction,cross,current,defence,deficit,diary,difficulty,draw,drawing,earth,east,enquiry,expedition,export,fashion,flower,fortune,headline,hierarchy,host,hundred,impact,record
1,dollar,approach,acre,answer,capability,conversion,acceptance,interface,case,airport,appearance,adviser,advantage,enterprise,bacterium,adoption,assistance,decline,author,athelstan,comparison,concert,cabinet,allegation,dancer,breach,announcement,exchange,content,communication,america,dawn,authority,attitude,citizen,arrangement,airline,anger,book,chemical,anna,association,budget,boss,attempt,bill,english,bulk,assessment,baby,depth,bird,back,edition,bathroom,beer,defendant,arrival,consent,february,artist,bible,climate,assault,catalogue,killing,ball,atmosphere,congress,benefit,basis,crowd,clerk,england,fall,best,medal,consciousness,bell,complexity,cast,company,basket,curtain,clash,forest,emission,comfort,break,feeling,blanket,button,charles,count,brown,caution,cattle,crash,copy,brain,crisis,boundary,brow,challenge,half,chain,gaze,cloud,glass,canal,pack,duty,clinton,estate,client,fibre,check,chip,experiment,defect,councillor,fire,cash,chair,certificate,compensation,existence,cathedral,conclusion,couple,demonstration,championship,delay,character,favour,entity,chin,heaven,conservative,club,constituency,community,course,gallery,collapse,compliance,continent,flavour,contribution,custom,criterion,crack,decision,dance,future,delivery,economy,journal,dilemma,final,image,horizon,middle,inquiry,holiday,import,manner,leaf,money,name,ladder,leader,million,importance,recording
2,penny,combination,inch,article,capacity,difference,attention,link,circumstance,base,composition,ambassador,availability,improvement,bond,allocation,help,development,commentator,david,connection,exhibition,command,alternative,defender,progress,application,holding,coverage,contact,britain,evening,board,emphasis,employee,compromise,bike,anxiety,drama,contents,anne,coalition,credit,brother,demand,charter,french,fraction,calculation,bull,depths,creature,breast,publication,bedroom,bread,individual,birth,permission,june,design,culture,countryside,attack,category,murder,blade,background,convention,debt,belief,guest,commissioner,ireland,spring,excess,prize,democracy,clarke,concentration,crew,corp,bath,fence,defeat,garden,flow,delight,launch,finding,boot,carpet,edward,crown,green,guideline,coal,damage,form,flesh,depression,coast,circle,competition,part,channel,glimpse,darkness,gold,corridor,patch,incentive,gorbachev,family,collector,knot,glance,clock,initiative,disease,delegate,fist,coin,chairman,cheque,damages,life,chapel,consequence,decade,dinner,competitor,display,joke,honour,faction,face,hell,democrat,college,county,port,curriculum,institute,completion,conference,country,scent,effort,exercise,equation,effect,discretion,drive,ideal,maintenance,inequality,magazine,error,game,paint,moon,north,investigation,journey,load,media,palm,portfolio,phrase,stage,member,thousand,merit,
3,,formula,metre,comment,chance,distinction,behaviour,links,condition,battery,date,analyst,consumption,industry,cell,construction,intervention,evolution,critic,eliot,contradiction,lecture,department,appeal,detective,,choice,spending,evidence,conversation,china,hour,commission,opponent,inhabitant,concession,boat,attraction,episode,drug,blanche,empire,dividend,colleague,desire,clause,german,handful,datum,child,detail,female,chest,release,downstairs,breakfast,offender,birthday,,march,designer,discipline,environment,enemy,chart,prosecution,bomb,characteristic,election,earnings,concept,observer,constable,kong,summer,maximum,trophy,discourse,cook,dose,gang,corporation,bottle,gate,fight,lake,impulse,freedom,lead,left,cloth,ceiling,francis,duke,white,injunction,crop,harm,fragment,hair,disaster,,cliff,contest,portion,label,grin,dust,metal,lane,seal,jurisdiction,hitler,farm,consumer,pipe,look,computer,operation,disorder,delegation,flame,currency,chancellor,counter,payment,lifespan,cottage,goal,generation,event,title,drop,mystery,possession,force,hand,jesus,labour,school,district,settlement,degree,laboratory,extension,consideration,gulf,smell,faith,experience,factor,focus,hearing,lift,joint,protection,inflation,newspaper,fault,match,painting,planet,south,proceedings,mission,supplies,style,rose,power,poem,stair,participant,,origin,
4,,framework,mile,essay,courage,independence,bias,point,crime,building,definition,assistant,cost,innovation,cluster,creation,involvement,expansion,editor,george,contrast,thesis,embassy,argument,farmer,,draft,trade,guidance,debate,europe,minute,committee,perspective,insider,consensus,carriage,chaos,film,ingredient,caroline,league,grant,companion,dream,constitution,public,majority,determination,corpse,distance,fish,elbow,version,garage,cake,patient,death,,,developer,doctrine,field,fleet,code,trial,bullet,component,parliament,employment,conception,passenger,doctor,leeds,winter,minimum,,identity,corbett,exposure,guard,firm,bucket,pole,fighting,mill,noise,glory,start,living,clothes,deck,henry,earl,,licence,electricity,hook,mass,limb,explosion,,corner,poll,quarter,line,hint,heat,rock,railway,slice,liability,kinnock,land,creditor,plate,spell,device,project,illness,deputy,lamp,finance,chief,deposit,penalty,lifetime,hall,objective,month,festival,winner,gain,myth,pursuit,group,head,,major,university,division,town,education,library,opening,consultation,island,sound,loyalty,practice,filter,grip,judgement,pass,motive,recovery,pollution,paper,issue,round,photograph,soil,west,,passage,supply,,stem,treasury,sentence,table,supporter,,purpose,
5,,instrument,pint,message,expertise,integration,conflict,reference,danger,camp,description,consultant,cycle,research,compound,discovery,participation,growth,historian,james,equivalent,,government,claim,figure,,entry,trading,information,dialogue,france,morning,council,policy,official,contract,carrier,confidence,movie,matter,charlie,republic,insurance,cousin,fear,declaration,russian,margin,distribution,gentleman,extent,human,eyebrow,volume,household,champagne,person,departure,,,driver,history,landscape,invasion,collection,,knife,context,referendum,expenditure,expectation,reader,inspector,liverpool,,score,,imagination,ford,frequency,personnel,foundation,chamber,track,hunt,mine,pulse,happiness,stop,meaning,coat,desk,john,emperor,,limit,food,kick,object,muscle,flood,,curve,race,remainder,model,kiss,light,stone,road,spot,limitation,leadership,property,customer,rail,test,disk,venture,infection,politician,spirit,flag,coach,gift,punishment,,hotel,outcome,period,reception,,increase,plot,search,institution,horn,,tory,,province,village,grade,museum,removal,examination,nation,sweat,promise,profession,function,handle,judgment,ride,other,relief,poverty,papers,mess,,picture,universe,,,path,transport,,tree,variety,song,,,,scope,
6,,means,pound,note,failure,isolation,contempt,,direction,centre,example,expert,ease,talent,gene,establishment,presence,popularity,journalist,joseph,relation,,minister,complaint,football,,invitation,,insight,discussion,germany,night,court,position,prisoner,deal,craft,confusion,novel,mixture,diana,union,loan,daughter,habit,decree,second,minority,estimate,ghost,height,insect,finger,,kitchen,cigarette,plaintiff,destruction,,,engineer,ideology,market,landing,database,,needle,core,vote,expense,hypothesis,tourist,judge,london,,total,,memory,graham,incidence,squad,subsidiary,coffin,wall,play,mountain,rhythm,health,turn,planning,collar,disc,mark,king,,order,fruit,open,piece,nail,recession,,edge,rally,rest,product,laugh,mist,wood,route,stitch,monopoly,marx,,dealer,rope,watch,engine,,injury,representative,sword,,commander,item,recognition,,house,result,season,ritual,,move,script,triumph,movement,tongue,,,,ward,,instruction,studio,,inspection,ocean,taste,respect,study,input,hold,opinion,roll,past,replacement,price,press,mistake,,portrait,world,,,tour,,,,wealth,term,,,,significance,
7,,mechanism,tonne,notice,opportunity,marriage,controversy,,fact,complex,explanation,guide,effectiveness,technology,layer,formation,treatment,rise,personality,luke,relationship,,ministry,concern,forward,,motion,,intelligence,friendship,india,occasion,fund,role,resident,lease,flight,curiosity,series,substance,elizabeth,,membership,father,hope,directive,,number,evaluation,girl,length,monster,forehead,,restaurant,coffee,victim,fate,,,maker,language,population,occupation,document,,shell,dimension,,income,idea,traveller,justice,oxford,,,,mind,howard,intensity,staff,trust,column,,rebel,park,signal,love,,reading,cover,fabric,philip,knight,,remedy,fuel,punch,remains,nerve,revolution,,foot,show,section,share,let,rain,,square,strip,necessity,regime,,employer,shaft,,equipment,,pain,seat,torch,,director,leaflet,reward,,palace,,time,,,reform,story,,organisation,,,,,,,lesson,workshop,,meeting,sphere,tone,rights,teaching,interval,influence,verdict,slide,potential,safety,tide,times,problem,,poster,,,,trip,,,,,text,,,,status,
8,,medium,,paragraph,reputation,separation,criticism,,incident,facility,expression,practitioner,efficiency,,molecule,implementation,,spread,poet,martin,relative,,prime,dispute,hero,,offer,,knowledge,interaction,iraq,weekend,jury,stance,servant,partnership,helicopter,disappointment,television,,emily,,mortgage,friend,instinct,legislation,,percentage,measure,horse,level,mouse,heart,,room,cream,voter,resignation,,,manufacturer,literature,region,raid,domain,,shot,element,,investment,implication,viewer,lawyer,scotland,,,,reality,jackson,range,team,,container,,struggle,pond,spectrum,peace,,setting,dress,floor,richard,lord,,restriction,goods,shock,sample,root,scandal,,front,tournament,stretch,sport,plenty,sand,,street,,obligation,thatcher,,holder,string,,gear,,strain,,,,executive,letter,wages,,temple,,week,,,return,tale,,organization,,,,,,,program,,,negotiation,,touch,thanks,work,norm,shape,,stand,present,security,traffic,,task,,print,,,,visit,,,,,tune,,,,validity,
9,,method,,post,skill,succession,discrimination,,instance,factory,identification,researcher,energy,,organism,introduction,,success,producer,mary,,,,doubt,miner,,option,,material,interview,israel,,office,,student,protocol,lorry,embarrassment,video,,harry,,pension,husband,intention,resolution,,proportion,measurement,killer,scale,prey,heel,,shop,diet,,retirement,,,photographer,logic,sector,troops,file,,stick,feature,,profit,impression,visitor,magistrate,wales,,,,self,johnson,ratio,,,cupboard,,,pool,stimulus,pleasure,,thinking,garment,furniture,robert,pope,,rule,grain,strike,specimen,skin,shortage,,ground,,whole,type,seconds,shadow,,terrace,,offence,washington,,investor,tape,,machine,,stroke,,,,fellow,mail,,,theatre,,year,,,shift,tragedy,,party,,,,,,,programme,,,preparation,,,,,parameter,,,step,prospects,withdrawal,turnover,,thing,,statue,,,,,,,,,verse,,,,value,
