,0,1
0,dollar,formula
1,pound,quote
2,accountant,ability
3,acre,absence
4,actor,abuse
5,adam,acceptance
6,adult,access
7,adviser,accident
8,africa,accommodation
9,afternoon,account
10,agency,accuracy
11,agent,achievement
12,aircraft,acid
13,airline,acquisition
14,airport,action
15,album,activity
16,alice,addition
17,ally,address
18,ambassador,administration
19,america,admission
20,american,adoption
21,analyst,advance
22,angel,advantage
23,animal,advertisement
24,ankle,advertising
25,anna,advice
26,anne,affair
27,anniversary,agenda
28,apartment,agreement
29,apple,alarm
30,applicant,alcohol
31,april,allegation
32,architect,alliance
33,area,allocation
34,army,allowance
35,arrow,alternative
36,artist,ambition
37,assembly,amendment
38,assistant,amount
39,association,analysis
40,athelstan,anger
41,auditor,angle
42,australia,announcement
43,author,answer
44,autumn,anxiety
45,award,appeal
46,baby,appearance
47,back,application
48,bacterium,appointment
49,baker,approach
50,ball,approval
51,band,architecture
52,bank,argument
53,barrel,arrangement
54,base,array
55,basket,arrest
56,bath,arrival
57,bathroom,article
58,battery,aspect
59,beach,assault
60,beam,assessment
61,beauty,asset
62,bedroom,assistance
63,beer,assumption
64,bell,atmosphere
65,belt,attack
66,bench,attempt
67,benjamin,attention
68,best,attitude
69,bible,attraction
70,bike,audience
71,bill,authority
72,bird,availability
73,birthday,average
74,bishop,awareness
75,black,background
76,blade,balance
77,blanche,barrier
78,blanket,basis
79,blood,battle
80,board,beginning
81,boat,behaviour
82,body,being
83,bomb,belief
84,bond,benefit
85,bone,bias
86,book,birth
87,boom,block
88,boot,blow
89,border,breach
90,boss,break
91,bottle,breath
92,bottom,budget
93,boundary,bulk
94,bowl,burden
95,brain,calculation
96,branch,call
97,brand,campaign
98,bread,capability
99,breakfast,capacity
100,breast,care
101,breeze,career
102,brick,case
103,bridge,catalogue
104,britain,category
105,brother,cause
106,brow,caution
107,brown,ceremony
108,brush,certificate
109,bucket,challenge
110,building,chance
111,bull,change
112,bullet,chaos
113,bush,characteristic
114,business,charge
115,button,chart
116,buyer,charter
117,cabinet,check
118,cable,choice
119,cake,circumstance
120,camera,claim
121,camp,clash
122,canal,clause
