,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
0,dollar,formula,pound,quote,ability,absence,abuse,acceptance,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acre,action,activity,actor,adam,addition,address,administration,admission,adult,advance,advantage,advertisement,advice,adviser,affair,africa,afternoon,agency,agenda,agreement,aircraft,airline,airport,alarm,album,alcohol,alice,allegation,alliance,allocation,ally,alternative,ambassador,ambition,amendment,american,amount,analysis,analyst,angel,angle,animal,ankle,anniversary,announcement,anxiety,apartment,appearance,apple,applicant,application,approval,april,architect,architecture,area,army,array,arrest,arrival,arrow,article,aspect,assault,assembly,assessment,asset,assumption,athelstan,atmosphere,audience,autumn,average,award,awareness,baby,background,bacterium,baker,band,bank,barrel,barrier,basis,bath,battle,beach,beauty,beginning,being,belief,belt,bench,benefit,best,bike,bill,bishop,black,block,blow,board,boat,body,bone,book,boom,border,boss,bottle,bottom,branch,breach,bread,breakfast,breath,breeze,brick,bridge,britain,brother,budget,bull,burden,bush,business,button,buyer,cable,campaign,cancer,capability,capacity,capital,captain,card,care,carpet,case,cast,castle,catalogue,category,cathedral,cattle,cause,caution,ceiling,century,ceremony,chain,chair,challenge,champion,chance,chaos,character,charge,charity,chart,choice,christian,circle,circumstance,city,clash,closure,cloth,cloud,club,coach,coast,collector,college,communication,complexity,compliance,composition,computer,concentration,concern,conduct,constituency,construction,container,content,conviction,cook,copy,corridor,course,cover,crime,cross,crown,current,curve,custom,cycle,damage,damages,dance,decade,decline,defeat,deficit,degree,democracy,depth,difference,dose,doubt,drama,earth,east,edition,effect,election,electricity,emphasis,employee,enemy,enquiry,episode,estate,exchange,expectation,expedition,export,fabric,factory,fashion,father,favour,feature,finding,fire,fish,flavour,flow,flower,football,forest,fortune,foundation,future,girl,glance,gorbachev,guest,guide,guitar,handle,heart,heat,hour,hundred,hypothesis,image,importance,individual,investor,issue,item,kind,lady,lake,left,lesson,living,london,market,mass,mechanism,merit,pack,paper,period,phase,rail,rank,thinking,washington
1,coin,equation,pound,claim,attempt,existence,attention,acquisition,link,crash,allowance,definition,agent,detail,career,cell,distance,approach,contribution,author,benjamin,comparison,answer,cabinet,door,female,progress,defect,advertising,assistance,candidate,bond,america,evening,authority,doctrine,arrangement,bomb,brand,base,anger,disc,beer,anna,fact,co-operation,availability,colleague,appeal,delegate,desire,charter,english,balance,conception,consultant,christ,corner,bird,back,birthday,appointment,guilt,bathroom,delivery,ball,defendant,battery,consent,february,artist,bible,countryside,fleet,combination,birth,completion,bullet,chapter,characteristic,attack,association,calculation,enterprise,concept,charles,climate,crowd,fall,maximum,medal,consciousness,child,experience,chemical,bell,family,cash,beam,fence,constraint,leeds,fight,cliff,colour,moment,meaning,faith,boot,jury,gain,,carriage,decision,commissioner,brown,check,kick,commission,carrier,brain,flesh,essay,collapse,boundary,employer,couple,breast,half,break,cake,dinner,grin,dust,glass,canal,england,cousin,consumption,horse,duty,clinton,garage,call,client,mail,planning,condition,equipment,input,colony,chief,certificate,health,coffin,example,crew,cottage,collection,class,chapel,coal,,pressure,deck,continent,concert,channel,chairman,championship,competitor,opportunity,darkness,corpse,command,group,database,option,conservative,domain,danger,community,conflict,conclusion,clothes,heap,squad,defender,gulf,dealer,school,contact,exposure,conversion,contents,processor,frequency,delight,discipline,county,defence,envelope,coverage,injunction,hunt,form,line,curriculum,drawing,drug,drive,duke,past,function,habit,procedure,destruction,penalty,play,month,development,triumph,economy,education,freedom,depths,distinction,impulse,fear,horror,moon,north,journal,impact,parliament,energy,focus,pupil,opponent,examination,film,grounds,purchase,goal,flight,finance,grass,mill,manner,husband,popularity,filter,hearing,flame,prey,scent,pool,leaf,media,garden,money,fund,other,prisoner,glimpse,hitler,reader,lead,rhythm,hold,self,light,minute,million,model,statue,necessity,people,operator,matter,object,sort,prince,mountain,right,letter,record,moscow,trade,momentum,method,warrant,patch,papers,phrase,screen,train,rating,thought,york
2,currency,formula,,comment,commitment,life,behaviour,adoption,links,disaster,compensation,description,assistant,ease,personality,compound,inch,attitude,intervention,commentator,kelly,connection,post,department,doorway,male,,difficulty,publicity,guidance,host,friendship,australia,morning,office,faction,compromise,missile,company,building,attraction,,blood,anne,myth,coalition,distribution,companion,argument,delegation,dream,clause,french,bulk,direction,expert,jesus,edge,human,elbow,date,discretion,harm,bedroom,demonstration,basket,offender,camera,consideration,june,dancer,culture,province,force,mixture,death,departure,candle,page,column,invasion,conference,datum,medium,idea,david,context,public,middle,minimum,prize,feeling,daughter,expertise,organism,clarke,gang,debt,blade,obstacle,criterion,liverpool,fighting,hall,comfort,point,means,,glove,panel,honour,,engine,declaration,constable,green,count,pass,committee,craft,mind,hair,novel,crisis,,inhabitant,penny,brow,part,crack,diet,holiday,kiss,flood,metal,lane,france,neighbour,cost,lamb,liability,ford,restaurant,change,consumer,phone,policy,disease,industry,output,empire,commander,cheque,housing,curtain,instance,personnel,farm,exhibition,generation,church,crop,,strain,floor,country,festival,circuit,chancellor,competition,holder,possibility,dawn,creature,control,institution,document,preference,democrat,sphere,risk,port,controversy,consequence,coat,mess,team,driver,island,farmer,university,conversation,intensity,extension,design,,incidence,disappointment,exercise,district,improvement,leaflet,evidence,judgement,,fragment,path,experiment,painting,murder,lift,earl,present,slope,history,process,loss,punishment,roll,week,evolution,victory,inequality,employment,independence,extent,error,pulse,panic,mystery,planet,south,magazine,influence,poll,fuel,work,student,rebel,inquiry,movie,land,return,intention,journey,import,ground,mine,,lover,reputation,format,reading,lamp,,smell,stream,palm,news,park,treasury,institute,potential,refugee,hint,kinnock,tourist,,rock,holding,soul,sunlight,seconds,thousand,phenomenon,symbol,origin,person,shareholder,problem,piece,type,princess,pond,,message,recording,paris,trading,motion,mode,,spot,proceedings,term,stage,,score,,
3,dollar,,,gesture,courage,lifespan,bias,creation,reference,explosion,credit,explanation,auditor,effectiveness,talent,gene,metre,opinion,involvement,critic,mungo,contradiction,reply,embassy,entrance,,,dilemma,,help,insider,interaction,china,night,police,identity,concession,weapon,corp,camp,confidence,,champagne,blanche,rumour,partnership,regulation,fellow,complaint,deputy,hope,code,german,excess,expression,observer,,horizon,insect,finger,occasion,invitation,pain,cupboard,display,blanket,patient,chip,permission,march,designer,language,region,guard,number,fate,discovery,horn,paragraph,component,landing,congress,emission,resource,ideal,edward,environment,,spring,total,trophy,imagination,sister,insight,species,corbett,,insurance,chamber,wall,demand,oxford,,hill,gaze,scene,,,gold,,incentive,,helicopter,directive,councillor,white,review,punch,council,ship,muscle,skin,poem,depression,,landlord,pint,cheek,portion,delay,dish,lunch,laugh,rain,stone,railway,ireland,relative,earnings,mouse,load,martin,shop,counter,creditor,telephone,prospects,disorder,innovation,production,jurisdiction,inspector,deposit,safety,desk,while,staff,flat,gallery,grade,temple,fibre,,stress,interior,nation,ritual,cluster,director,contest,title,prospect,heaven,entity,grip,movement,file,selection,labour,,threat,settlement,dispute,outcome,collar,nest,,forward,ocean,gentleman,,debate,ratio,identification,formation,,rate,embarrassment,field,division,maintenance,packet,information,judgment,,remains,route,initiative,photograph,offence,ride,emperor,second,,practice,routine,,treatment,,weekend,expansion,,inflation,instruction,peace,height,variation,signal,,terror,universe,west,newspaper,,referendum,power,,teacher,target,inspection,song,property,transfer,motive,mission,supplies,pavement,plant,,mother,success,interface,,torch,,smoke,string,root,radio,theatre,wealth,trust,worth,teenager,look,thatcher,traveller,,tone,,spirit,,,,principle,,priority,place,,question,product,,queen,reserve,,notice,writing,rome,,pace,pattern,,stitch,,word,step,,,,
4,,,,headline,determination,lifetime,contempt,establishment,,incident,dividend,name,citizen,efficiency,,molecule,mile,perspective,membership,editor,nigel,contrast,response,government,entry,,,failure,,,leader,marriage,europe,,,ideology,consensus,,corporation,centre,confusion,,coffee,caroline,speculation,venture,succession,friend,objection,representative,instinct,constitution,russian,fraction,implication,practitioner,,margin,,foot,,recommendation,shock,kitchen,lecture,bowl,plaintiff,clock,recognition,,developer,literature,sector,troops,range,killing,launch,needle,section,core,raid,convention,equivalent,source,notion,francis,landscape,,summer,,,impression,,interest,virus,eliot,,lease,frame,,guideline,,,ridge,glory,time,,,mask,,reward,,lorry,draft,court,,search,shot,tribunal,vessel,nerve,tissue,story,recession,,owner,slice,chest,quarter,draw,recipe,meal,let,snow,wood,road,kingdom,successor,expenditure,rabbit,obligation,marx,store,drop,customer,,scheme,illness,machinery,,territory,officer,diary,security,downstairs,,,home,library,,,fruit,,,roof,state,,network,executive,event,winner,,hell,figure,ownership,organisation,index,,major,,trouble,town,struggle,result,dress,pile,,player,shore,miner,,dialogue,respect,integration,framework,,spread,frustration,profession,seat,management,sheet,intelligence,order,,sample,,package,picture,,stand,king,,,style,task,,,,year,growth,,pollution,teaching,privilege,length,,stimulus,,,world,,promotion,,vote,water,,,,investigation,track,,transition,objective,tour,supply,sand,studio,,parent,,layer,,,,sound,wave,stem,television,,,,,youngster,sight,,visitor,,voice,,,,,,proof,,role,subject,,topic,,,,river,,warning,,,,,technique,,strip,,,,,,,
5,,,,joke,effort,nature,criticism,implementation,,scandal,income,outline,clerk,quality,,particle,,position,occupation,historian,patrick,relation,,minister,gate,,,fault,,,organiser,relationship,germany,,,leadership,consultation,,firm,clinic,curiosity,,cream,charlie,truth,,,partner,opposition,volunteer,love,decree,,handful,interpretation,researcher,,side,,joint,,request,sleep,room,performance,brush,victim,device,,,engineer,medicine,valley,,spectrum,resignation,withdrawal,pole,sentence,dimension,strike,league,estimate,,premise,george,setting,,winter,,,memory,,knowledge,,graham,,licence,gear,,limit,,,square,happiness,times,,,ring,,,,motor,offer,judge,,test,trick,,,,,tale,revolution,,tenant,tonne,chin,remainder,spell,,,sigh,storm,,street,republic,,expense,sheep,responsibility,,workshop,lock,purchaser,,solution,infection,software,,,pilot,gift,survival,furniture,,,hotel,museum,,,goods,,,wing,,,service,governor,final,,,mist,ghost,possession,organization,list,,tory,,,village,,,flag,,,receiver,waters,peasant,,discourse,sensitivity,isolation,hierarchy,,symptom,satisfaction,pursuit,ward,operation,shell,material,remedy,,specimen,,program,portrait,,walk,knight,,,tradition,,,,,,increase,,poverty,training,rights,level,,variable,,,,,publication,,,,,,,prosecution,tune,,,purpose,trip,transport,soil,yard,,wife,,menu,,,,taste,,tree,,,,,,youth,,,,,,,,,,,theory,,significance,thing,,,,,,,,,,,,,,,,,,,,,,
6,,,,mistake,lack,presence,discrimination,introduction,,tragedy,payment,profile,detective,scope,,protein,,stance,participation,journalist,prime,,,ministry,opening,,,strength,,,participant,,india,,,philosophy,contract,,label,complex,emotion,,drink,diana,,,,rival,protest,,need,legislation,,majority,logic,scholar,,,,knee,,suggestion,,,preparation,bucket,voter,disk,,,maker,music,zone,,variety,retirement,,,text,element,,meeting,evaluation,,,henry,situation,,,,,perception,,skill,,howard,,loan,hole,,limitation,,,terrace,mood,,,,shoe,,,,passenger,petition,justice,,watch,,,,,,verse,shortage,,,,eyebrow,rest,start,,,smile,weather,,trail,scotland,,investment,,,,,move,seller,,strategy,injury,technology,,,policeman,grant,welfare,mirror,,,house,portfolio,,,grain,,,,,,system,manager,game,,,shadow,hero,rule,party,register,,,,,,,,garment,,,rider,,worker,,discussion,stability,merger,plot,,temperature,surprise,sport,,protection,,research,sanction,,trace,,programme,poster,,,lord,,,trend,,,,,,rise,,price,,,peak,,,,,,,publisher,,,,,,,study,video,,,,visit,,surface,,,,,module,,,,touch,,,,,,,,,,,,,,,,,,,thesis,,status,user,,,,,,,,,,,,,,,,,,,,,,
7,,,,note,refusal,,hostility,rejection,,,pension,representation,doctor,speed,,strand,,view,,poet,robyn,,,,passage,,,weakness,,,speaker,,iraq,,,politics,deal,,subsidiary,facility,enthusiasm,,food,elizabeth,,,,,reaction,,passion,statute,,minority,reflection,scientist,,,,limb,,,,,presentation,cigarette,witness,instrument,,,manufacturer,poetry,,,,suicide,,,,factor,,rally,interval,,,james,space,,,,,reality,,,,jackson,,monopoly,ladder,,norm,,,tower,noise,,,,sleeve,,,,plane,plan,magistrate,,,,,,,,,,,,,face,stretch,tear,,,support,wind,,tunnel,wales,,profit,,,,,shift,supplier,,tactic,stroke,,,,sergeant,questionnaire,,organ,,,household,volume,,,seed,,,,,,,member,match,,,silence,killer,,society,,,,,,,,,jacket,,,star,,,,interview,,recovery,sequence,,,,,,relief,,statistics,verdict,,,,project,print,,,pope,,,,,,,,,,,tide,,,size,,,,,,,release,,,,,,,trial,,,,,,,tile,,,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,value,woman,,,,,,,,,,,,,,,,,,,,,,
8,,,,remark,tendency,,loyalty,removal,,,premium,signature,lawyer,validity,,substance,,,,producer,scot,,,,window,,,,,,spokesman,,israel,,,regime,negotiation,,,headquarters,excitement,,juice,emily,,,,,reason,,promise,,,percentage,version,specialist,,,,pitch,,,,,reception,fist,,machine,,,photographer,press,,,,,,,,ingredient,,session,measure,,,john,,,,,,sense,,,,johnson,,mortgage,pair,,provision,,,,pleasure,,,,sword,,,,tank,proposal,priest,,,,,,,,,,,,,forehead,whole,turn,,,talk,,,,,,revenue,,,,,stick,vendor,,,surgery,,,,soldier,receipt,,pillow,,,palace,,,,stock,,,,,,,president,open,,,,monster,,union,,,,,,,,,shirt,,,,,,,prayer,,reform,shape,,,,,,replacement,,stuff,,,,,schedule,,,,,,,,,,,,,,,turnover,,,weight,,,,,,,,,,,,,,,,,,,,,,,,,,protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,report,willingness,,resistance,sale,,,salary,,master,,,,,,,reporter,simon,,,,,,,,,,supporter,,italy,,,religion,treaty,,,hospital,laughter,,meat,harry,,,,,thanks,,wish,,,population,,,,,,shoulder,,,,,speech,hook,,tape,,,,science,,,,,,,,parameter,,summit,measurement,,,joseph,,,,,,senses,,,,jones,,rent,pipe,,requirement,,,,plenty,,,,,,,,taxi,proposition,,,,,,,,,,,,,,front,,,,,,,,,,,spending,,,,,stop,viewer,,,,,,,,secret,,shelf,,,shelter,,,,,,,,,,,secretary,qualification,,,,stranger,,,,,,,,,,,skirt,,,,,,,thread,,separation,structure,,,,,,traffic,,,,,,,series,,,,,,,,,,,,,,,uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
