,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,dollar,formula,quote,ability,absence,abuse,acceptance,access,accident,accommodation,account,accountant,accuracy,achievement,acid,acquisition,acre,actor,adam,addition,address,administration,adoption,adult,advance,advantage,advertisement,advice,adviser,affair,africa,afternoon,agency,agenda,agent,agreement,aircraft,airport,alarm,album,alcohol,allegation,alliance,allocation,allowance,ally,alternative,ambassador,ambition,amendment,america,american,amount,analysis,angel,angle,animal,ankle,anna,anniversary,announcement,anxiety,apartment,appeal,apple,applicant,application,approach,approval,april,architecture,area,argument,army,arrangement,array,arrest,arrow,article,artist,aspect,assault,assembly,asset,assistance,assistant,assumption,athelstan,atmosphere,attention,attraction,audience,authority,autumn,average,award,awareness,baby,back,background,bacterium,baker,ball,band,bank,barrel,barrier,base,basket,battery,battle,beach,beam,beauty,beer,beginning,being,belt,bench,benefit,best,bible,bike,birth,bishop,black,block,blood,blow,boat,body,bomb,bone,boom,border,boss,bottom,bowl,branch,brand,breach,bread,break,breakfast,breast,breath,breeze,brick,bridge,brother,brush,bulk,bull,burden,bush,business,buyer,cabinet,call,camera,campaign,canal,cancer,candidate,candle,capacity,capital,captain,card,career,carpet,cast,castle,catalogue,category,cathedral,cause,caution,ceiling,century,ceremony,certificate,chain,chair,challenge,champion,chance,change,chaos,characteristic,check,chip,choice,christ,cigarette,circumstance,citizen,city,clash,class,cliff,climate,clinton,closure,clothes,club,co-operation,coach,coal,coat,collapse,collector,college,colony,commitment,communication,companion,comparison,compensation,concentration,conclusion,conference,confidence,confusion,constituency,constraint,consultant,continent,control,controversy,conversation,conversion,conviction,cook,copy,corbett,corridor,cottage,counter,country,couple,courage,course,court,cover,coverage,cross,crown,current,cycle,dance,darkness,datum,david,debt,defeat,deficit,delight,democracy,depth,designer,diary,difference,difficulty,dilemma,direction,discipline,discretion,display,distance,door,dose,draft,drama,draw,dream,drive,driver,earth,east,edition,education,electricity,emission,emperor,empire,enemy,engineer,english,enquiry,entrance,envelope,equipment,equivalent,error,event,example,exchange,exercise,expedition,experience,experiment,export,expression,factory,family,favour,feeling,figure,final,fire,flow,flower,football,fortune,foundation,francis,freedom,future,game,garden,glance,glory,goal,gold,ground,growth,guide,guitar,gulf,half,headline,heap,heart,heaven,hierarchy,hint,holder,hook,horror,hour,hundred,hypothesis,image,importance,inch,independence,industry,injunction,insider,intelligence,interval,invasion,issue,journal,kind,knot,lady,lane,language,leeds,left,link,loss,mail,media,merit,month,nest,news,package,paper,part,percentage,phase,plan,position,possession,potential,prime,prince,protest,range,rating,reaction,register,ritual,root,sand,step,stop,student,stuff,supplies,thinking,trade,weather,while,whilst,whole
1,pound,curve,comment,attempt,appointment,action,admission,core,crash,care,definition,architect,availability,development,compound,discovery,metre,analyst,alice,expansion,answer,government,implementation,female,progress,defect,advertising,guidance,organiser,bond,australia,evening,charity,culture,commissioner,contract,airline,forest,anger,book,drug,case,association,budget,credit,competitor,compromise,delegate,curiosity,bill,britain,christian,balance,assessment,character,corner,bird,cheek,anne,birthday,appearance,guilt,bathroom,invitation,cream,defendant,button,mechanism,consent,february,design,county,concern,fleet,composition,combination,crime,blade,chapter,author,component,attack,congress,estate,ease,colleague,basis,benjamin,environment,bias,date,client,board,fall,maximum,medal,consciousness,child,forward,context,chemical,bell,cable,crowd,company,bottle,curtain,building,bath,carriage,fight,coast,frame,colour,champagne,start,meaning,blanket,jury,gain,custom,content,motor,construction,count,brown,delay,brain,kick,carrier,corpse,mine,muscle,crisis,boundary,detective,brow,,coalition,ingredient,damage,cake,crack,dinner,chest,scent,cloud,cloth,railway,cousin,gaze,middle,cattle,duty,glass,enterprise,creditor,department,hold,computer,policy,river,disease,conservative,lamp,existence,cash,chief,cheque,field,clock,crew,hall,collection,chart,chapel,motive,warning,deck,decade,concert,degree,channel,chairman,competition,championship,opportunity,move,terror,feature,drop,disc,option,jesus,penny,condition,living,community,conflict,grade,hill,countryside,gorbachev,completion,furniture,squad,compliance,defender,crop,dress,decline,dealer,school,jurisdiction,contribution,contact,father,connection,concession,incidence,consensus,convention,demand,danger,district,criterion,expert,island,effect,debate,dialogue,evolution,decision,hunt,form,ford,line,farm,limit,nation,handful,pride,curriculum,judge,garment,information,,,present,pattern,music,dawn,estimate,john,insurance,triumph,employment,surprise,economy,depths,developer,myth,distinction,trouble,problem,impulse,history,judgement,screen,height,doorway,load,outline,episode,drawing,kiss,ride,pilot,moon,north,volume,instruction,energy,frequency,king,kingdom,opponent,researcher,french,inquiry,entry,leaflet,gear,relative,fault,race,instance,return,practice,holiday,expertise,initiative,import,gesture,garage,household,honour,mood,gentleman,open,noise,input,palm,sport,money,fund,james,privilege,past,match,lake,glimpse,happiness,ideal,metal,grounds,improvement,lead,horn,ocean,quarter,launch,mess,joint,hell,structure,sign,host,stick,mystery,minute,million,principle,photograph,necessity,tonne,isolation,market,order,observer,,period,occupation,matter,magazine,sort,lock,lord,square,name,liverpool,,links,,phone,press,warrant,week,prey,radio,program,papers,portion,ratio,stage,planning,post,pursuit,prospect,,princess,,spectrum,record,response,roll,routine,stem,soil,turn,,teenager,thing,supply,thought,trading,wind,,,
2,dollar,equation,joke,desire,arrival,activity,popularity,filter,disaster,finance,description,auditor,capability,innovation,domain,merger,mile,commentator,charlie,extension,message,regime,introduction,male,,failure,promotion,recommendation,secretary,friendship,china,morning,entity,doctrine,constable,deal,flight,museum,fear,essay,substance,charge,society,consumption,deposit,neighbour,solution,delegation,enthusiasm,charter,england,german,excess,calculation,creature,edge,fish,elbow,blanche,,delivery,pain,bedroom,notice,juice,individual,device,method,permission,june,fashion,province,objection,force,manner,mixture,death,bullet,paragraph,dancer,dimension,landing,diet,land,help,fellow,belief,charles,sphere,contempt,location,consumer,commission,spring,minimum,prize,discourse,,,framework,organism,clarke,ladder,gang,corp,container,fence,camp,bucket,engine,fighting,shore,pulse,comfort,coffee,,means,boot,panel,profit,guideline,contents,track,creation,duke,green,,flesh,pass,craft,grave,missile,nerve,depression,,guard,circle,,faction,item,harm,dish,tear,lunch,chin,smell,dust,fabric,tunnel,daughter,grin,remainder,horse,incentive,grass,venture,employer,embassy,holding,,strategy,stream,disorder,democrat,needle,life,coin,command,gift,profession,desk,staff,palace,exhibition,database,church,purpose,,floor,generation,festival,licence,circuit,chancellor,contest,division,possibility,shift,,,lift,disk,preference,,pint,,prisoner,settlement,dispute,rank,mountain,interior,hitler,opening,,team,consultation,player,fibre,flag,rise,farmer,university,territory,effort,interaction,husband,contradiction,damages,rate,consequence,meeting,doubt,disappointment,seat,factor,professional,,emphasis,scandal,discussion,integration,hearing,trap,fragment,graham,path,home,limitation,state,minority,skill,lesson,justice,jacket,knowledge,,,,scene,poetry,shadow,level,joseph,lease,victory,inequality,,revolution,detail,firm,story,variation,,situation,mass,literature,judgment,show,length,stair,weight,profile,film,finding,sleep,stand,rider,planet,south,,teaching,fuel,intensity,pope,republic,victim,scholar,,investigation,gate,packet,machinery,,mistake,,moment,transfer,work,journey,intervention,label,,reflection,restaurant,,,rhythm,girl,round,paint,output,tree,,treasury,institute,simon,right,,play,pond,insight,love,objective,rock,pitch,increase,,organ,,,release,pile,limb,,succession,trace,manager,,secret,seconds,thousand,theory,picture,origin,,separation,sector,penalty,reader,,spell,,subject,newspaper,type,patch,,street,phrase,london,,reference,,telephone,,worth,weekend,,television,programme,proceedings,stretch,share,,plot,role,search,prospects,,queen,,,score,thanks,,,,water,,,youngster,,,,,,,,
3,pound,formula,note,determination,departure,attitude,recognition,format,explosion,health,evidence,clerk,complexity,reform,gene,purchase,,critic,diana,,reply,rule,,,,weakness,publicity,,spokesman,marriage,india,night,institution,ideology,inspector,,helicopter,park,frustration,novel,,claim,union,cost,dividend,rival,,deputy,instinct,clause,europe,russian,fraction,consideration,ghost,horizon,human,eyebrow,caroline,,demonstration,panic,kitchen,offer,,offender,instrument,mode,,march,model,region,obstacle,troops,version,variety,killing,fist,section,editor,element,raid,election,property,let,friend,concept,edward,,criticism,place,customer,committee,summer,total,winner,identity,,,perspective,species,eliot,nail,pack,corporation,,front,centre,cell,lorry,struggle,,signal,emotion,drink,,,collar,,,norm,document,,destruction,earl,white,,hair,punch,ship,remains,weapon,tissue,recession,,nurse,face,,group,product,,food,,meal,forehead,sound,flame,plate,,mother,laugh,rest,mouse,liability,stone,,inhabitant,minister,,,tactic,valley,illness,tory,prayer,lifespan,currency,commander,grant,,pillow,,temple,gallery,index,,reason,,pavement,,guest,,cluster,director,poll,league,,switch,,,slide,file,replacement,,slice,,rebel,town,,,peak,landscape,kinnock,,,,negotiation,receiver,fruit,seal,rose,miner,,,faith,traffic,lover,contrast,payment,risk,fate,,expectation,embarrassment,ward,function,specialist,,focus,speculation,interview,recovery,prosecution,watch,object,kelly,road,hotel,restriction,,number,virtue,schedule,magistrate,shirt,material,,,,sequence,tune,silence,point,michael,loan,,inflation,,unity,extent,maker,tale,,,,momentum,logic,opinion,,size,window,,shape,movie,painting,touch,walk,,star,west,,training,power,scale,,,,scientist,,,passage,sheet,personnel,,,,occasion,transport,,mission,involvement,operation,,representation,shop,,,style,people,second,smoke,production,,,wealth,trust,thomas,rights,,,pool,look,peace,target,,,measure,,,,,,,spine,,,,operator,,,,,thesis,portrait,priority,,,,remedy,scot,,time,,topic,publication,,stitch,,terrace,term,oxford,,,,,,,year,,,,,,,,proposal,spot,,,,,,,,,,,,waters,,,youth,,,,,,,,
4,,,question,lack,resignation,behaviour,rejection,interface,flood,housing,explanation,councillor,effectiveness,technology,molecule,sale,,executive,emily,,,,,,,,,,,partnership,iraq,,organisation,leadership,major,,plane,reserve,rage,poem,,complaint,,expenditure,earnings,,,representative,interest,code,france,,majority,defence,hero,margin,insect,finger,elizabeth,,distribution,sensation,room,petition,,other,machine,procedure,,,,zone,opposition,,,,murder,handle,sentence,poet,nature,strike,parliament,,,partner,conception,george,,discrimination,site,employee,council,winter,,,imagination,,,scope,strain,howard,pipe,,subsidiary,,wall,clinic,chamber,rail,,,wave,excitement,wine,,,glove,,,specification,print,,establishment,,,,skin,shot,vessel,statue,,,shortage,,police,foot,,movement,,,lamb,,,head,taste,heat,tile,,parent,sigh,,rabbit,monopoly,wood,,investor,ministry,,,,,infection,,torch,lifetime,,governor,letter,,shelf,,villa,library,list,,,,roof,,lecture,,network,member,rally,qualification,,trend,,,,memory,selection,,,,refugee,village,,,ridge,,marx,,,,referendum,,goods,,spread,peasant,,,loyalty,,,relation,protection,symptom,outcome,,hope,exposure,,parameter,,,grip,,thread,transformation,resolution,,piece,knight,route,house,,,pair,,,,skirt,statistics,,,,series,,,,mungo,mortgage,,labour,,,,manufacturer,,,,,motion,medicine,,,,,,,song,reading,,,,universe,,,,,speed,,,,,,,,shell,,,,,,,,tour,membership,project,,signature,store,,,tone,person,,sweat,,,,,,,,,,yard,sight,pleasure,,,,reduction,,,,,,,tooth,,,,owner,,,,,,poster,significance,,,,sanction,tourist,,times,,,,,strip,,tower,word,wales,,,,,,,,,,,,,,,scheme,,,,,,,,,,,,,,,,,,,,,,,,
5,,,remark,need,retirement,conduct,success,layer,incident,safety,interpretation,doctor,efficiency,,particle,,,historian,harry,,,,,,,,,,,relationship,japan,,organization,politics,officer,,,,,,,offence,,expense,income,,,speaker,passion,constitution,germany,,proportion,evaluation,killer,side,,hand,isabel,,performance,stress,,request,,participant,medium,process,,,,,,,,,suicide,knife,verse,producer,phenomenon,,,,,pupil,fact,henry,,hostility,,passenger,tribunal,,,,mind,,,sense,virus,jackson,pole,,,,,complex,coffin,tank,,,,flavour,,,,mask,,,standard,script,,formation,,,,,,,,,,,,policeman,slope,,party,,,meat,,,mouth,,light,,,sister,smile,,sheep,obligation,,,landlord,office,,,,,injury,,,,,leader,receipt,,sofa,,,portfolio,page,,,,surface,,recording,,service,president,,season,,,,,,tape,,,,,witness,,,,summit,,thatcher,,,,,,grain,,,teacher,,,promise,,,,punishment,,result,,intention,shock,,stimulus,,,impact,,,transition,trial,,sample,,trail,mill,,,plenty,,,,sleeve,,,,,,,,,nigel,rent,,pollution,,,,supplier,,,,,pace,philosophy,,,,,,,video,writing,,,,world,,,,,strength,,,,,,,,,,,,,,,,trip,participation,task,,symbol,studio,,,voice,stranger,,,,,,,,,,,,,view,satisfaction,,,,,,,,,,,vein,,,,ownership,,,,,,,status,,,,,traveller,,,,,,,trick,,,,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,report,refusal,withdrawal,habit,,menu,tragedy,security,proof,lawyer,quality,,protein,,,journalist,helen,,,,,,,,,,,,kong,,,religion,official,,,,,,,rumour,,investment,pension,,,volunteer,reputation,declaration,ireland,,quantity,examination,monster,,,heel,marie,,presentation,uncertainty,,suggestion,,patient,platform,recipe,,,,,,,,,,leaf,,writer,theme,,,,,,idea,philip,,resistance,,public,,,,,reality,,,setting,,johnson,rope,,,,,facility,column,taxi,,,,laughter,,,,ring,,,,text,,removal,,,,,,,,,,,,priest,,,wing,,,milk,,,neck,,mist,,,successor,,,,requirement,,,purchaser,,,,,,surgery,,,,,master,ticket,,table,,,,,,,,,,session,,system,resident,,title,,,,,,,,,,,,,,,,,,,,,,,salt,,,worker,,,,,,,relief,,,,,,,variable,,,influence,,,,verdict,,specimen,,,,,,,,,,suit,,,,,,,,,patrick,savings,,population,,,,vendor,,,,,pressure,science,,,,,,,,,,,,,,,,,temperature,,,,,,,,,,,,,,,,visit,presence,,,,workshop,,,,woman,,,,,,,,,,,,,,truth,,,,,,,,,,,,,,,publisher,,,,,,,value,,,,,visitor,,,,,,,,,,,york,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,statement,tendency,,,,module,,welfare,,practitioner,sensitivity,,strand,,,personality,jack,,,,,,,,,,,,moscow,,,stance,sergeant,,,,,,,suspicion,,spending,premium,,,,respect,decree,israel,,,identification,,,,knee,mary,,reception,,,wish,,plaintiff,resource,technique,,,,,,,,,,mirror,,,,,,,,,implication,richard,,tension,,user,,,,,self,,,,,jones,shaft,,,,,headquarters,cupboard,train,,,,spirit,,,,shoe,,,,,,,,,,,,,,,,,,soldier,,,,,,potato,,,nose,,rain,,,wife,,,,responsibility,,,seller,,,,,,,,,,,,transaction,,towel,,,,,,,,,,theatre,,,supporter,,tournament,,,,,,,,,,,,,,,,,,,,,,,seed,,,,,,,,,,reward,,,,,,,,,,,,,,,,,,,,,,,,,,trousers,,,,,,,,,paul,stake,,poverty,,,,,,,,,,tradition,,,,,,,,,,,,,,,,,tide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,support,willingness,,,,port,,,,servant,stability,,,,,photographer,jane,,,,,,,,,,,,,,,,,,,,,,,,,waste,price,,,,sympathy,directive,italy,,,inspection,,,,shoulder,,,speech,,,,,voter,software,,,,,,,,,,,sword,,,,,,,,,impression,robert,,threat,,viewer,,,,,senses,,,,,lewis,string,,,,,hospital,downstairs,truck,,,,warmth,,,,,,,,,,,,,,,,,,,,,,thief,,,,,,,,,stomach,,snow,,,,,,,,,,shareholder,,,,,,,,,,,,,,,,,,,,,,,,,,,trustee,,trophy,,,,,,,,,,,,,,,,,,,,,,,stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniform,,,,,,,,,peter,,,unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,talk,,,,,processor,,,,solicitor,survival,,,,,politician,kate,,,,,,,,,,,,,,,,,,,,,,,,,,revenue,,,,talent,legislation,paris,,,maintenance,,,,stroke,,,,,,,,,source,,,,,,,,,,,wheel,,,,,,,,,notion,will,,violence,,,,,,,soul,,,,,martin,tube,,,,,laboratory,flat,vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tail,,storm,,,,,,,,,,tenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stephen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
