,0,1,2,3,4
0,dollar,formula,pound,quote,accountant
1,acre,ability,acid,abuse,actor
2,administration,absence,adult,access,adam
3,africa,acceptance,alcohol,account,adviser
4,afternoon,accident,angle,address,agent
5,agency,accommodation,animal,advance,alice
6,aircraft,accuracy,ankle,advertising,ally
7,airline,achievement,apple,alarm,ambassador
8,airport,acquisition,arrow,anger,american
9,album,action,baby,answer,analyst
10,alliance,activity,bacterium,appeal,angel
11,america,addition,ball,approach,anna
12,anniversary,admission,barrel,arrest,anne
13,apartment,adoption,basket,assault,applicant
14,april,advantage,bathroom,attack,architect
15,architecture,advertisement,battery,attempt,artist
16,area,advice,beam,average,assistant
17,army,affair,bedroom,back,athelstan
18,assembly,agenda,beer,balance,auditor
19,association,agreement,bell,battle,author
20,australia,allegation,belt,beginning,baker
21,autumn,allocation,bench,being,benjamin
22,award,allowance,bike,benefit,bill
23,band,alternative,bird,best,bishop
24,bank,ambition,black,block,blanche
25,base,amendment,blade,blow,boss
26,bath,amount,blanket,bond,brother
27,beach,analysis,blood,breach,brown
28,bible,announcement,boat,break,buyer
29,birthday,anxiety,body,call,candidate
30,board,appearance,bomb,care,captain
31,book,application,bone,cash,caroline
32,boom,appointment,boot,cast,chairman
33,border,approval,bottle,cause,champion
34,boundary,argument,bottom,caution,chancellor
35,bowl,arrangement,brain,challenge,character
36,branch,array,bread,change,charles
37,brand,arrival,breast,charge,charlie
38,breakfast,article,breath,chart,chief
39,bridge,aspect,breeze,check,child
40,britain,assessment,brick,claim,christian
41,building,asset,brow,clash,citizen
42,business,assistance,brush,collapse,clarke
43,cabinet,assumption,bucket,comfort,clerk
44,camp,atmosphere,bulk,command,client
45,campaign,attention,bull,comment,clinton
46,canal,attitude,bullet,compromise,coach
47,capital,attraction,bush,conduct,colleague
48,career,audience,button,contact,collector
49,carrier,authority,cable,contest,commander
50,castle,availability,cake,control,commentator
51,catalogue,awareness,camera,cook,commissioner
52,cathedral,background,candle,copy,companion
53,centre,barrier,card,cost,competitor
54,century,basis,carpet,count,conservative
55,ceremony,beauty,carriage,counter,constable
56,chair,behaviour,cattle,cover,consultant
57,chamber,belief,ceiling,crack,consumer
58,championship,bias,cell,crash,corbett
59,channel,birth,chain,credit,councillor
60,chapel,budget,champagne,cross,cousin
61,chapter,burden,cheek,crowd,creditor
62,charity,calculation,chemical,damage,critic
63,charter,cancer,cheque,damages,customer
64,china,capability,chest,dance,dancer
65,christ,capacity,chin,date,daughter
66,church,case,chip,deal,david
67,circle,category,cigarette,debate,dealer
68,circuit,certificate,cliff,decline,defendant
69,city,chance,clock,defeat,defender
70,class,chaos,cloth,defect,delegate
71,clinic,characteristic,clothes,delay,democrat
72,club,choice,cloud,delight,deputy
73,coalition,circumstance,cluster,demand,designer
74,coast,clause,coal,deposit,detective
75,collection,climate,coat,design,developer
76,college,closure,coffee,desire,diana
77,colony,co-operation,coffin,detail,director
78,commission,code,coin,display,doctor
79,committee,combination,collar,dispute,driver
80,community,commitment,colour,distance,duke
81,company,communication,column,document,earl
82,complex,comparison,compound,doubt,editor
83,concert,compensation,computer,draft,edward
84,conference,competition,container,draw,eliot
85,congress,complaint,core,drawing,elizabeth
86,constituency,completion,corpse,dream,emily
87,continent,complexity,craft,dress,emperor
88,convention,compliance,cream,drink,employee
89,corner,component,creature,drive,employer
90,corp,composition,crop,drop,engineer
91,corporation,concentration,crown,ease,executive
92,corridor,concept,cupboard,essay,expert
93,cottage,conception,curtain,estimate,farmer
94,council,concern,curve,exchange,father
95,country,concession,darkness,exercise,fellow
96,countryside,conclusion,deck,experience,francis
97,county,condition,device,experiment,friend
98,couple,confidence,disc,export,gentleman
99,course,conflict,dish,face,george
100,court,confusion,disk,fall,ghost
101,crew,connection,door,fault,girl
102,current,consciousness,doorway,favour,gorbachev
103,database,consensus,downstairs,fear,governor
104,dawn,consent,drug,feature,graham
105,decade,consequence,dust,feeling,guest
106,delegation,consideration,earth,fight,harry
107,department,constitution,edge,fighting,helen
108,desk,constraint,elbow,figure,henry
109,diary,construction,enemy,file,hero
110,dinner,consultation,engine,finance,historian
111,disaster,consumption,envelope,finding,hitler
112,district,contempt,equipment,fire,holder
113,division,content,eyebrow,flood,host
114,dollar,contents,fabric,flow,howard
115,domain,context,female,focus,husband
116,drama,contract,fence,force,inhabitant
117,east,contradiction,fibre,form,insider
118,edition,contrast,filter,format,inspector
119,election,contribution,finger,forward,investor
120,embassy,controversy,fish,function,isabel
121,empire,conversation,fist,gain,jack
122,england,conversion,flag,gaze,jackson
123,english,conviction,flame,gesture,james
124,enterprise,courage,flat,glance,jane
125,entrance,coverage,flavour,glimpse,jesus
126,episode,creation,flesh,grade,john
127,estate,crime,floor,grant,johnson
128,europe,crisis,flower,guard,jones
129,evening,criterion,food,guide,joseph
130,exhibition,criticism,foot,handle,journalist
131,expedition,culture,forehead,harm,judge
132,facility,curiosity,fragment,headline,justice
133,faction,currency,frame,hearing,kate
134,factory,curriculum,fruit,heat,kelly
135,family,custom,fuel,hell,killer
136,farm,cycle,furniture,help,king
137,february,danger,garment,hint,kinnock
138,festival,datum,gear,hold,knight
139,field,death,gene,holding,labour
140,film,debt,glass,honour,lady
141,final,decision,glove,hope,landlord
142,firm,declaration,gold,horror,laura
143,fleet,decree,goods,hunt,lawyer
144,flight,defence,grain,import,leader
145,football,deficit,grass,increase,lewis
146,ford,definition,grave,influence,lily
147,forest,degree,green,interface,lord
148,fortune,delivery,grin,interview,lover
149,foundation,democracy,grip,issue,lucy
150,france,demonstration,ground,joke,luke
151,french,departure,guitar,journey,maggie
152,front,depression,hair,kick,magistrate
153,fund,depth,hand,killing,major
154,future,depths,head,kiss,maker
155,gallery,description,heap,label,manager
156,game,destruction,heart,landing,manufacturer
157,gang,determination,heel,laugh,marie
158,garage,development,helicopter,launch,martin
159,garden,dialogue,hole,lead,marx
160,gate,diet,hook,lease,mary
161,german,difference,horizon,lecture,master
162,germany,difficulty,horn,left,member
163,government,dilemma,horse,let,michael
164,grounds,dimension,human,lift,miller
165,group,direction,inch,limit,miner
166,gulf,directive,individual,link,minister
167,half,disappointment,insect,links,morgan
168,hall,discipline,instrument,list,mother
169,headquarters,discourse,item,living,mungo
170,heaven,discovery,jacket,load,neighbour
171,hill,discretion,joint,lock,nigel
172,holiday,discrimination,juice,look,nurse
173,home,discussion,kitchen,love,observer
174,hospital,disease,knee,mail,offender
175,hotel,disorder,knife,mark,officer
176,hour,distinction,knot,match,official
177,house,distribution,ladder,matter,operator
178,household,dividend,lamb,meaning,opponent
179,housing,doctrine,lamp,means,organiser
180,hundred,dose,layer,measure,owner
181,india,duty,leaf,meeting,parent
182,industry,earnings,leaflet,merit,participant
183,institute,economy,light,mess,partner
184,institution,education,limb,mind,passenger
185,insurance,effect,lorry,mistake,patrick
186,interior,effectiveness,machine,move,paul
187,iraq,efficiency,machinery,murder,peasant
188,ireland,effort,male,name,penny
189,island,electricity,mask,need,person
190,israel,element,mass,note,personality
191,italy,embarrassment,maximum,notice,peter
192,japan,emission,meal,offer,philip
193,journal,emotion,meat,open,photographer
194,june,emphasis,medium,opening,pilot
195,jury,employment,menu,order,plaintiff
196,kingdom,energy,metal,outline,player
197,kong,enquiry,metre,pain,poet
198,laboratory,enthusiasm,milk,painting,policeman
199,lake,entity,mine,panic,politician
200,land,entry,minute,pass,pope
