,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,dollar,formula,quote,ability,absence,abuse,access,accident,accommodation,account,accountant,accuracy,acid,action,activity,actor,adam,administration,adult,advance,advertisement,advice,adviser,affair,africa,afternoon,agency,agenda,agreement,aircraft,airport,alcohol,alice,allegation,allowance,ally,american,amount,analysis,angel,angle,ankle,apple,applicant,application,april,architecture,area,arrow,assembly,athelstan,atmosphere,audience,average,award,baker,base,beach,beam,beginning,belt,blow,bond,bottle,breeze,brick,bridge,bulk,buyer,career,cast,chain,compromise,concession,dance
1,pound,arrangement,address,achievement,acceptance,alarm,alternative,barrier,apartment,contents,boss,advantage,blood,allocation,boom,analyst,charlie,advertising,animal,army,album,approval,agent,battle,america,anniversary,alliance,approach,amendment,airline,cathedral,beer,anna,argument,budget,brother,best,array,appearance,baby,balance,back,cattle,defendant,capability,autumn,curriculum,capital,ball,authority,benjamin,awareness,benefit,block,bowl,bell,camp,cliff,emission,being,blanket,break,cash,bucket,cloud,cable,canal,half,client,duty,chart,circle,consensus,favour,dream
2,acre,category,answer,ambition,acquisition,anger,asset,case,bath,copy,citizen,characteristic,brain,compensation,decline,architect,gene,business,bacterium,assault,article,arrest,ambassador,campaign,australia,birthday,association,aspect,bill,bike,centre,bread,anne,assumption,capacity,child,black,combination,assessment,christ,direction,bone,crop,female,chip,february,discipline,city,barrel,bench,charles,beauty,comfort,border,challenge,brown,ceremony,coast,explosion,finding,carpet,call,cheque,card,darkness,chemical,castle,middle,collector,expedition,cover,circuit,consultation,gesture,gaze
3,coin,certificate,appeal,attention,addition,anxiety,content,circumstance,bathroom,detail,dancer,complexity,breath,control,development,artist,harry,care,bird,attack,bible,attempt,assistant,clash,britain,century,band,attitude,charter,boat,chapel,breakfast,blanche,basis,consumption,colleague,christian,couple,calculation,crown,distance,bottom,fish,human,component,june,drama,colony,basket,board,david,consciousness,crowd,boundary,champion,bush,concert,gulf,filter,holding,clothes,change,contract,cell,dust,cloth,corridor,part,competitor,journey,display,cluster,controversy,gift,glance
4,dollar,class,comment,attraction,admission,breach,core,connection,bedroom,document,defender,concentration,brush,discrimination,evolution,author,jack,employment,body,charge,book,conduct,auditor,conflict,china,dawn,bank,background,clause,bomb,church,cake,caroline,belief,cost,companion,conservative,excess,communication,duke,energy,breast,flower,individual,computer,march,education,community,battery,cabinet,edward,emotion,delight,cause,championship,clarke,conference,island,flow,killing,coat,check,credit,container,earth,fabric,cross,portion,consumer,life,drawing,compound,conversation,grant,grin
5,fortune,code,complaint,chance,adoption,burden,database,consequence,building,draft,detective,degree,flesh,jurisdiction,expansion,commentator,kelly,finance,bull,collapse,catalogue,consent,bishop,contact,england,decade,branch,behaviour,constitution,carriage,clinic,champagne,diana,claim,deficit,cousin,current,fraction,comparison,earl,mass,brow,fruit,male,device,,history,constituency,blade,chamber,francis,excitement,help,count,competition,clinton,convention,lake,forward,left,collar,crack,currency,deck,fire,fibre,entrance,remainder,creditor,lifetime,feature,curve,debate,honour,kiss
6,gold,constraint,input,choice,announcement,cancer,fuel,contradiction,cottage,file,doctor,depth,heap,liability,growth,consultant,luke,guidance,character,command,chapter,conviction,candidate,deal,europe,evening,brand,bias,declaration,carrier,college,cigarette,elizabeth,concept,demand,daughter,english,generation,composition,emperor,momentum,cheek,grain,object,engine,,literature,continent,boot,commission,george,experience,horror,counter,contest,cook,course,mountain,horizon,living,colour,draw,damages,disc,flame,glass,estate,rest,customer,mission,glimpse,cycle,dialogue,merit,laugh
7,hundred,criterion,letter,commitment,appointment,caution,guide,contrast,cupboard,form,driver,depths,heart,limitation,improvement,critic,mark,health,corpse,crash,collection,decision,captain,fall,france,holiday,channel,climate,decree,craft,complex,coal,emily,conception,earnings,father,french,handful,consideration,ghost,motion,chest,grass,offender,equipment,,logic,country,bullet,committee,henry,feeling,pleasure,date,event,corbett,desk,ocean,impulse,meaning,dress,drive,debt,disk,flood,metal,factory,whole,dealer,path,headline,dimension,discourse,offer,look
8,inch,custom,message,concern,arrival,chaos,host,crisis,downstairs,fragment,farmer,dose,heaven,monopoly,increase,designer,michael,housing,creature,defeat,column,determination,chair,fight,germany,hour,charity,context,directive,crew,embassy,coffee,helen,conclusion,expenditure,friend,future,list,contribution,hitler,pace,chin,lamb,parent,factor,,medicine,countryside,button,congress,james,flavour,pride,delay,final,eliot,dinner,pond,light,means,flag,drop,deposit,envelope,heat,pavement,farm,,developer,pursuit,image,domain,discussion,privilege,punch
9,metre,datum,note,confidence,assistance,confusion,information,defect,flat,import,figure,ease,hell,penalty,innovation,editor,mungo,intelligence,enemy,defence,diary,discretion,chairman,fighting,india,minute,club,culture,initiative,flight,facility,cream,isabel,condition,expense,husband,german,majority,coverage,jesus,power,corner,leaf,participant,ingredient,,music,county,camera,council,john,freedom,satisfaction,equivalent,football,ford,exhibition,reserve,medium,opening,garment,gain,dividend,floor,mist,protein,gate,,employee,ride,name,element,dispute,respect,sigh
